Position,,,,,,,,Intensity Mean Ch=3 Img=1,Intensity Mean Ch=2 Img=1
 ==================== ,,,,,,,, ==================== , ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,VENUS Intensity Mean,KEIMA Intensity Mean
69.1687,33.9958,18.1127,um,Spot,Position,1,397,47.4538,1618.13
76.014,34.2476,17.9648,um,Spot,Position,1,398,36.3836,1695.72
38.0058,50.3798,15.6476,um,Spot,Position,1,436,264.744,1430.89
46.9782,38.9777,17.5861,um,Spot,Position,1,437,77.4707,1180.51
46.0826,54.2622,18.6981,um,Spot,Position,1,438,2191.38,1730.56
56.564,38.0708,20.265,um,Spot,Position,1,440,210.05,1342.6
52.4849,46.5895,21.8604,um,Spot,Position,1,442,1156.92,1222.38
59.7775,48.955,15.6898,um,Spot,Position,1,443,793.263,1666.59
80.7706,44.3139,17.6227,um,Spot,Position,1,444,236.761,1668.53
64.5353,45.1311,17.9438,um,Spot,Position,1,445,231.568,1532.33
74.8014,54.6759,21.3012,um,Spot,Position,1,446,4587.4,1715.69
84.6319,60.2907,21.3168,um,Spot,Position,1,447,300.345,1627.16
89.3593,37.8589,16.4062,um,Spot,Position,1,448,39.6481,941.152
104.621,39.223,16.7835,um,Spot,Position,1,449,23.8936,1306.19
89.5976,48.8203,18.8018,um,Spot,Position,1,450,191.03,1494.66
101.975,59.4491,20.4535,um,Spot,Position,1,451,202.731,1309.66
113.423,61.8801,20.7533,um,Spot,Position,1,453,36.6862,1095.43
111.853,44.0422,21.7515,um,Spot,Position,1,454,33.388,1154.77
93.4792,46.1085,21.8257,um,Spot,Position,1,455,140.048,1437.94
109.294,55.9568,22.0001,um,Spot,Position,1,456,40.6824,1321.28
118.009,53.1038,18.5675,um,Spot,Position,1,462,47.2404,1335.37
56.5522,73.5399,18.9375,um,Spot,Position,1,469,293.792,1404.47
47.1976,65.2383,19.7723,um,Spot,Position,1,470,2714.52,1652.11
49.8428,76.0203,21.2839,um,Spot,Position,1,471,136.805,1632.11
62.7632,70.9763,15.4537,um,Spot,Position,1,472,570.739,952.026
73.7597,81.3679,15.417,um,Spot,Position,1,473,197.827,1439.5
66.2724,84.1595,16.1288,um,Spot,Position,1,474,631.807,1451.64
80.8734,79.0532,19.9469,um,Spot,Position,1,475,73.9434,1657.72
62.2693,85.9586,20.2022,um,Spot,Position,1,476,57.9964,1946.36
76.0054,90.4711,20.4547,um,Spot,Position,1,477,57.0004,1087.45
62.4535,78.0708,22.9235,um,Spot,Position,1,478,1409.49,1776.9
74.9384,78.3496,22.717,um,Spot,Position,1,479,240.649,1122.28
87.4148,80.9711,15.9731,um,Spot,Position,1,480,57.0656,1163.67
99.3807,75.3478,18.4528,um,Spot,Position,1,481,132.369,1573.24
111.664,78.5679,18.6363,um,Spot,Position,1,482,263.291,1423.48
104.596,88.7433,18.5586,um,Spot,Position,1,483,22.9607,1471.57
114.299,91.5788,19.2652,um,Spot,Position,1,484,60.8988,1642.77
92.7889,76.5406,20.0754,um,Spot,Position,1,485,51.3898,1387.79
92.0286,91.0454,19.7776,um,Spot,Position,1,486,44.4172,1632.12
107.545,66.4189,20.762,um,Spot,Position,1,487,62.3658,1324.32
88.7981,83.7177,21.7579,um,Spot,Position,1,488,51.9883,1149.93
97.4581,84.1795,21.7275,um,Spot,Position,1,489,156.592,1677.5
107.461,85.1631,21.988,um,Spot,Position,1,490,59.0499,1568.7
117.246,68.1704,19.2316,um,Spot,Position,1,498,46.9132,1122.73
40.254,61.1368,23.7431,um,Spot,Position,1,548,745.449,1681.16
45.5153,53.084,24.4227,um,Spot,Position,1,549,825.46,1627.41
56.2003,57.3027,26.3252,um,Spot,Position,1,550,671.227,1752.25
51.9108,56.2177,26.5252,um,Spot,Position,1,552,1348.48,1924.58
55.5393,62.4639,29.43,um,Spot,Position,1,554,1160.51,1418.21
79.2274,55.3585,23.3324,um,Spot,Position,1,555,1098.06,1755.67
76.2338,41.1755,23.7261,um,Spot,Position,1,556,68.289,1852.51
71.4734,42.6544,24.1632,um,Spot,Position,1,557,73.0728,1585.62
85.4955,48.56,24.0643,um,Spot,Position,1,558,89.3617,1648.12
69.3411,52.7739,24.3124,um,Spot,Position,1,559,2064.93,1871.97
63.4051,52.2513,24.661,um,Spot,Position,1,560,703.801,1616.64
63.2914,56.7062,26.1544,um,Spot,Position,1,561,2229,1654.14
85.2209,50.7285,27.7059,um,Spot,Position,1,562,124.009,1542.4
66.4194,61.3559,27.7933,um,Spot,Position,1,563,2709.91,1577.67
78.5986,53.5965,29.4191,um,Spot,Position,1,564,3238.27,1788.82
72.2982,54.0908,29.3707,um,Spot,Position,1,565,1395.13,1890.76
77.9055,59.1888,30.2264,um,Spot,Position,1,566,1533.89,1560.11
105.567,46.4152,23.5755,um,Spot,Position,1,567,45.2225,1238.67
98.0219,52.4824,24.4047,um,Spot,Position,1,568,143.683,2009.91
114.237,53.577,24.2051,um,Spot,Position,1,569,43.9068,1242.76
92.4301,57.9543,29.3483,um,Spot,Position,1,570,83.866,2281.84
106.9,58.2479,29.3673,um,Spot,Position,1,571,149.586,1529.67
87.9408,61.943,30.1237,um,Spot,Position,1,572,955.415,2248.48
95.6831,64.3761,29.9305,um,Spot,Position,1,573,2086.58,1501.2
117,60.1042,25.1484,um,Spot,Position,1,575,36.6821,1170.39
71.2912,82.9969,23.1184,um,Spot,Position,1,580,1750.7,1541.4
71.442,74.9934,24.3225,um,Spot,Position,1,581,224.377,1322.15
81.685,66.9623,25.255,um,Spot,Position,1,583,458.711,2103.83
66.8899,69.3023,25.2103,um,Spot,Position,1,584,125.636,1323.27
81.934,83.4066,25.631,um,Spot,Position,1,585,34.976,1599.05
77.3171,73.1918,26.0444,um,Spot,Position,1,586,382.106,1129.29
