
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.7761e+08,,Spot,4,Image 1,1,586,
2.86436e+08,,Spot,4,Image 1,1,587,
5.89153e+07,,Spot,4,Image 1,1,588,
4.68404e+08,,Spot,4,Image 1,1,589,
1.24836e+08,,Spot,4,Image 1,1,590,
4.81757e+07,,Spot,4,Image 1,1,592,
2.10701e+07,,Spot,4,Image 1,1,593,
5.38476e+07,,Spot,4,Image 1,1,594,
3.6459e+07,,Spot,4,Image 1,1,595,
6.43046e+07,,Spot,4,Image 1,1,596,
1.25536e+08,,Spot,4,Image 1,1,597,
2.7742e+08,,Spot,4,Image 1,1,598,
4.8249e+08,,Spot,4,Image 1,1,599,
9.14814e+07,,Spot,4,Image 1,1,600,
3.73685e+08,,Spot,4,Image 1,1,601,
2.4466e+08,,Spot,4,Image 1,1,602,
507196,,Spot,4,Image 1,1,603,
2.01288e+08,,Spot,4,Image 1,1,604,
1.7641e+07,,Spot,4,Image 1,1,605,
2.31997e+08,,Spot,4,Image 1,1,607,
6.03254e+08,,Spot,4,Image 1,1,610,
2.05445e+08,,Spot,4,Image 1,1,624,
5.13446e+08,,Spot,4,Image 1,1,625,
3.90807e+08,,Spot,4,Image 1,1,630,
2.16432e+08,,Spot,4,Image 1,1,640,
1.76465e+08,,Spot,4,Image 1,1,645,
3.37874e+08,,Spot,4,Image 1,1,55413,
5.02218e+08,,Spot,4,Image 1,1,55414,
2.83751e+08,,Spot,4,Image 1,1,55415,
4.91216e+08,,Spot,4,Image 1,1,55416,
4.63779e+08,,Spot,4,Image 1,1,55417,
3.61774e+08,,Spot,4,Image 1,1,55418,
3.77976e+08,,Spot,4,Image 1,1,55420,
2.67028e+08,,Spot,4,Image 1,1,55421,
7.94106e+08,,Spot,4,Image 1,1,55422,
3.14161e+08,,Spot,4,Image 1,1,55423,
3.69841e+08,,Spot,4,Image 1,1,55424,
9.09634e+07,,Spot,4,Image 1,1,55425,
1.23822e+09,,Spot,4,Image 1,1,55426,
2.4658e+08,,Spot,4,Image 1,1,55427,
3.34999e+08,,Spot,4,Image 1,1,55429,
1.93608e+08,,Spot,4,Image 1,1,55430,
5.37489e+07,,Spot,4,Image 1,1,55431,
1.59989e+08,,Spot,4,Image 1,1,55432,
4.08878e+08,,Spot,4,Image 1,1,55433,
7.63524e+08,,Spot,4,Image 1,1,55434,
3.39385e+08,,Spot,4,Image 1,1,55435,
1.63825e+08,,Spot,4,Image 1,1,55436,
2.22122e+08,,Spot,4,Image 1,1,55437,
5.85457e+08,,Spot,4,Image 1,1,55438,
6.48282e+08,,Spot,4,Image 1,1,55439,
2.6906e+08,,Spot,4,Image 1,1,55440,
5.04395e+08,,Spot,4,Image 1,1,55441,
3.64134e+08,,Spot,4,Image 1,1,55442,
6.84733e+08,,Spot,4,Image 1,1,55444,
4.60641e+08,,Spot,4,Image 1,1,55445,
2.8812e+07,,Spot,4,Image 1,1,55446,
1.00109e+08,,Spot,4,Image 1,1,55447,
4.03951e+08,,Spot,4,Image 1,1,55449,
6.00286e+08,,Spot,4,Image 1,1,55450,
1.57857e+07,,Spot,4,Image 1,1,55452,
1.14953e+08,,Spot,4,Image 1,1,55453,
1.94684e+08,,Spot,4,Image 1,1,55454,
1.25462e+08,,Spot,4,Image 1,1,55455,
4.41394e+08,,Spot,4,Image 1,1,55456,
1.36723e+09,,Spot,4,Image 1,1,55458,
1.17173e+08,,Spot,4,Image 1,1,55459,
1.35979e+07,,Spot,4,Image 1,1,55460,
3.64585e+08,,Spot,4,Image 1,1,55461,
1.01379e+08,,Spot,4,Image 1,1,55462,
