
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2736,,Spot,Image 1,1,55472,
2741,,Spot,Image 1,1,55474,
2759,,Spot,Image 1,1,55475,
2754,,Spot,Image 1,1,55476,
2743,,Spot,Image 1,1,55477,
2743,,Spot,Image 1,1,55478,
2746,,Spot,Image 1,1,55479,
2299,,Spot,Image 1,1,55480,
2748,,Spot,Image 1,1,55481,
2752,,Spot,Image 1,1,55482,
2766,,Spot,Image 1,1,55483,
2285,,Spot,Image 1,1,55484,
2750,,Spot,Image 1,1,55485,
2763,,Spot,Image 1,1,55486,
2734,,Spot,Image 1,1,55487,
2732,,Spot,Image 1,1,55488,
2763,,Spot,Image 1,1,55491,
2730,,Spot,Image 1,1,55492,
2743,,Spot,Image 1,1,55493,
2771,,Spot,Image 1,1,55494,
2739,,Spot,Image 1,1,55495,
2741,,Spot,Image 1,1,55496,
2752,,Spot,Image 1,1,55497,
2746,,Spot,Image 1,1,55498,
2746,,Spot,Image 1,1,55499,
2749,,Spot,Image 1,1,55500,
2750,,Spot,Image 1,1,55501,
2743,,Spot,Image 1,1,55502,
2742,,Spot,Image 1,1,55503,
2739,,Spot,Image 1,1,55505,
2752,,Spot,Image 1,1,55506,
2753,,Spot,Image 1,1,55507,
2739,,Spot,Image 1,1,55508,
2286,,Spot,Image 1,1,55509,
2761,,Spot,Image 1,1,55511,
2758,,Spot,Image 1,1,55512,
2738,,Spot,Image 1,1,55513,
2755,,Spot,Image 1,1,55514,
2758,,Spot,Image 1,1,55515,
2354,,Spot,Image 1,1,55517,
2740,,Spot,Image 1,1,55519,
2752,,Spot,Image 1,1,55520,
2748,,Spot,Image 1,1,55521,
2733,,Spot,Image 1,1,55524,
2741,,Spot,Image 1,1,55525,
2745,,Spot,Image 1,1,55526,
2745,,Spot,Image 1,1,55528,
2752,,Spot,Image 1,1,55529,
2753,,Spot,Image 1,1,55532,
2756,,Spot,Image 1,1,55533,
2742,,Spot,Image 1,1,55534,
2755,,Spot,Image 1,1,55535,
2741,,Spot,Image 1,1,55536,
2746,,Spot,Image 1,1,55537,
2745,,Spot,Image 1,1,55538,
2745,,Spot,Image 1,1,55539,
2742,,Spot,Image 1,1,55540,
2740,,Spot,Image 1,1,55541,
2736,,Spot,Image 1,1,55542,
2744,,Spot,Image 1,1,55543,
2744,,Spot,Image 1,1,55544,
2750,,Spot,Image 1,1,55545,
2749,,Spot,Image 1,1,55546,
2765,,Spot,Image 1,1,55548,
2740,,Spot,Image 1,1,55549,
2747,,Spot,Image 1,1,55550,
2748,,Spot,Image 1,1,55551,
2754,,Spot,Image 1,1,55552,
2743,,Spot,Image 1,1,55553,
2750,,Spot,Image 1,1,55554,
2737,,Spot,Image 1,1,55555,
2743,,Spot,Image 1,1,55556,
2757,,Spot,Image 1,1,55557,
2746,,Spot,Image 1,1,55558,
2751,,Spot,Image 1,1,55559,
2754,,Spot,Image 1,1,55560,
2757,,Spot,Image 1,1,55561,
2748,,Spot,Image 1,1,55562,
2737,,Spot,Image 1,1,55563,
2766,,Spot,Image 1,1,55564,
2760,,Spot,Image 1,1,55565,
2746,,Spot,Image 1,1,55566,
2755,,Spot,Image 1,1,55568,
2754,,Spot,Image 1,1,55569,
2737,,Spot,Image 1,1,55570,
2770,,Spot,Image 1,1,55571,
2753,,Spot,Image 1,1,55572,
2746,,Spot,Image 1,1,55573,
2748,,Spot,Image 1,1,55574,
2749,,Spot,Image 1,1,55576,
2739,,Spot,Image 1,1,55577,
2762,,Spot,Image 1,1,55578,
2739,,Spot,Image 1,1,55579,
2746,,Spot,Image 1,1,55580,
2752,,Spot,Image 1,1,55581,
2764,,Spot,Image 1,1,55582,
1564,,Spot,Image 1,2,55583,
1568,,Spot,Image 1,2,55584,
2619,,Spot,Image 1,2,55585,
2749,,Spot,Image 1,2,55586,
1569,,Spot,Image 1,2,55587,
2059,,Spot,Image 1,2,55588,
2750,,Spot,Image 1,2,55589,
2752,,Spot,Image 1,2,55590,
2741,,Spot,Image 1,2,55591,
1574,,Spot,Image 1,2,55592,
2665,,Spot,Image 1,2,55593,
2748,,Spot,Image 1,2,55594,
2737,,Spot,Image 1,2,55595,
1575,,Spot,Image 1,2,55596,
1852,,Spot,Image 1,2,55597,
2476,,Spot,Image 1,2,55598,
2753,,Spot,Image 1,2,55599,
2747,,Spot,Image 1,2,55600,
2750,,Spot,Image 1,2,55601,
1577,,Spot,Image 1,2,55602,
1574,,Spot,Image 1,2,55603,
1575,,Spot,Image 1,2,55604,
1959,,Spot,Image 1,2,55605,
2289,,Spot,Image 1,2,55606,
2674,,Spot,Image 1,2,55607,
2744,,Spot,Image 1,2,55608,
2748,,Spot,Image 1,2,55609,
2751,,Spot,Image 1,2,55610,
2754,,Spot,Image 1,2,55611,
2746,,Spot,Image 1,2,55612,
2734,,Spot,Image 1,2,55613,
1570,,Spot,Image 1,2,55614,
1571,,Spot,Image 1,2,55615,
1570,,Spot,Image 1,2,55616,
1567,,Spot,Image 1,2,55617,
1567,,Spot,Image 1,2,55618,
2393,,Spot,Image 1,2,55619,
2530,,Spot,Image 1,2,55620,
2535,,Spot,Image 1,2,55621,
2749,,Spot,Image 1,2,55622,
2748,,Spot,Image 1,2,55623,
2742,,Spot,Image 1,2,55624,
2745,,Spot,Image 1,2,55625,
2746,,Spot,Image 1,2,55626,
2752,,Spot,Image 1,2,55627,
2735,,Spot,Image 1,2,55628,
1572,,Spot,Image 1,2,55629,
1575,,Spot,Image 1,2,55630,
1573,,Spot,Image 1,2,55631,
1572,,Spot,Image 1,2,55632,
1577,,Spot,Image 1,2,55633,
1576,,Spot,Image 1,2,55634,
2516,,Spot,Image 1,2,55635,
2753,,Spot,Image 1,2,55636,
2643,,Spot,Image 1,2,55637,
2740,,Spot,Image 1,2,55638,
2747,,Spot,Image 1,2,55639,
2747,,Spot,Image 1,2,55640,
2758,,Spot,Image 1,2,55641,
2751,,Spot,Image 1,2,55642,
1569,,Spot,Image 1,2,55643,
1576,,Spot,Image 1,2,55644,
1574,,Spot,Image 1,2,55645,
1575,,Spot,Image 1,2,55646,
1563,,Spot,Image 1,2,55647,
1574,,Spot,Image 1,2,55648,
1574,,Spot,Image 1,2,55649,
2517,,Spot,Image 1,2,55650,
2743,,Spot,Image 1,2,55651,
2745,,Spot,Image 1,2,55652,
2735,,Spot,Image 1,2,55653,
2734,,Spot,Image 1,2,55654,
2744,,Spot,Image 1,2,55655,
