
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
17.2019,um,Spot,Image 1,1,55462,
14.5602,um,Spot,Image 1,1,55464,
10.7572,um,Spot,Image 1,1,55465,
7.23827,um,Spot,Image 1,1,55466,
0.953339,um,Spot,Image 1,1,55468,
0,um,Spot,Image 1,1,55469,
14.0109,um,Spot,Image 1,1,55470,
10.5218,um,Spot,Image 1,1,55471,
6.99501,um,Spot,Image 1,1,55472,
9.83522,um,Spot,Image 1,1,55474,
15.2138,um,Spot,Image 1,1,55475,
13.4817,um,Spot,Image 1,1,55476,
21.8253,um,Spot,Image 1,1,55477,
25.8489,um,Spot,Image 1,1,55478,
15.5873,um,Spot,Image 1,1,55479,
17.1788,um,Spot,Image 1,1,55480,
27.1937,um,Spot,Image 1,1,55481,
27.2159,um,Spot,Image 1,1,55482,
14.9865,um,Spot,Image 1,1,55483,
0.796387,um,Spot,Image 1,1,55484,
3.39294,um,Spot,Image 1,1,55485,
35.473,um,Spot,Image 1,1,55486,
27.579,um,Spot,Image 1,1,55487,
34.5956,um,Spot,Image 1,1,55488,
29.4436,um,Spot,Image 1,1,55491,
30.808,um,Spot,Image 1,1,55492,
32.1448,um,Spot,Image 1,1,55493,
33.036,um,Spot,Image 1,1,55494,
41.4006,um,Spot,Image 1,1,55495,
45.125,um,Spot,Image 1,1,55496,
36.3779,um,Spot,Image 1,1,55497,
21.8507,um,Spot,Image 1,1,55498,
34.1046,um,Spot,Image 1,1,55499,
42.7746,um,Spot,Image 1,1,55500,
42.6162,um,Spot,Image 1,1,55501,
41.631,um,Spot,Image 1,1,55502,
39.2742,um,Spot,Image 1,1,55503,
34.0737,um,Spot,Image 1,1,55505,
24.3207,um,Spot,Image 1,1,55506,
42.3934,um,Spot,Image 1,1,55507,
29.8511,um,Spot,Image 1,1,55508,
10.6702,um,Spot,Image 1,1,55509,
16.4612,um,Spot,Image 1,1,55511,
36.8235,um,Spot,Image 1,1,55512,
