
Area
 ==================== 
Area,Unit,Category,Time,ID,
78.5398,um^2,Spot,1,55430,
78.5398,um^2,Spot,1,55431,
78.5398,um^2,Spot,1,55432,
78.5398,um^2,Spot,1,55433,
78.5398,um^2,Spot,1,55434,
78.5398,um^2,Spot,1,55435,
78.5398,um^2,Spot,1,55436,
78.5398,um^2,Spot,1,55437,
78.5398,um^2,Spot,1,55438,
78.5398,um^2,Spot,1,55439,
78.5398,um^2,Spot,1,55440,
78.5398,um^2,Spot,1,55441,
78.5398,um^2,Spot,1,55442,
78.5398,um^2,Spot,1,55444,
78.5398,um^2,Spot,1,55445,
78.5398,um^2,Spot,1,55446,
78.5398,um^2,Spot,1,55447,
78.5398,um^2,Spot,1,55449,
78.5398,um^2,Spot,1,55450,
78.5398,um^2,Spot,1,55452,
78.5398,um^2,Spot,1,55453,
78.5398,um^2,Spot,1,55454,
78.5398,um^2,Spot,1,55455,
78.5398,um^2,Spot,1,55456,
78.5398,um^2,Spot,1,55458,
78.5398,um^2,Spot,1,55459,
78.5398,um^2,Spot,1,55460,
78.5398,um^2,Spot,1,55461,
78.5398,um^2,Spot,1,55462,
78.5398,um^2,Spot,1,55464,
78.5398,um^2,Spot,1,55465,
78.5398,um^2,Spot,1,55466,
78.5398,um^2,Spot,1,55468,
78.5398,um^2,Spot,1,55469,
78.5398,um^2,Spot,1,55470,
78.5398,um^2,Spot,1,55471,
78.5398,um^2,Spot,1,55472,
78.5398,um^2,Spot,1,55474,
78.5398,um^2,Spot,1,55475,
78.5398,um^2,Spot,1,55476,
78.5398,um^2,Spot,1,55477,
78.5398,um^2,Spot,1,55478,
78.5398,um^2,Spot,1,55479,
78.5398,um^2,Spot,1,55480,
78.5398,um^2,Spot,1,55481,
78.5398,um^2,Spot,1,55482,
78.5398,um^2,Spot,1,55483,
78.5398,um^2,Spot,1,55484,
78.5398,um^2,Spot,1,55485,
78.5398,um^2,Spot,1,55486,
78.5398,um^2,Spot,1,55487,
78.5398,um^2,Spot,1,55488,
78.5398,um^2,Spot,1,55491,
78.5398,um^2,Spot,1,55492,
78.5398,um^2,Spot,1,55493,
78.5398,um^2,Spot,1,55494,
78.5398,um^2,Spot,1,55495,
78.5398,um^2,Spot,1,55496,
78.5398,um^2,Spot,1,55497,
78.5398,um^2,Spot,1,55498,
78.5398,um^2,Spot,1,55499,
78.5398,um^2,Spot,1,55500,
78.5398,um^2,Spot,1,55501,
78.5398,um^2,Spot,1,55502,
78.5398,um^2,Spot,1,55503,
78.5398,um^2,Spot,1,55505,
78.5398,um^2,Spot,1,55506,
78.5398,um^2,Spot,1,55507,
78.5398,um^2,Spot,1,55508,
78.5398,um^2,Spot,1,55509,
78.5398,um^2,Spot,1,55511,
78.5398,um^2,Spot,1,55512,
78.5398,um^2,Spot,1,55513,
78.5398,um^2,Spot,1,55514,
78.5398,um^2,Spot,1,55515,
