
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Spot,Image 1,2,55593,
3.16697,um,Spot,Image 1,2,55594,
4.03449,um,Spot,Image 1,2,55595,
0,um,Spot,Image 1,2,55596,
0,um,Spot,Image 1,2,55597,
0,um,Spot,Image 1,2,55598,
3.30952,um,Spot,Image 1,2,55599,
4.00406,um,Spot,Image 1,2,55600,
4.90402,um,Spot,Image 1,2,55601,
0,um,Spot,Image 1,2,55602,
0,um,Spot,Image 1,2,55603,
0,um,Spot,Image 1,2,55604,
0,um,Spot,Image 1,2,55605,
0,um,Spot,Image 1,2,55606,
0,um,Spot,Image 1,2,55607,
0.562575,um,Spot,Image 1,2,55608,
0.685033,um,Spot,Image 1,2,55609,
1.04944,um,Spot,Image 1,2,55610,
1.28203,um,Spot,Image 1,2,55611,
2.16613,um,Spot,Image 1,2,55612,
4.84401,um,Spot,Image 1,2,55613,
0,um,Spot,Image 1,2,55614,
0,um,Spot,Image 1,2,55615,
0,um,Spot,Image 1,2,55616,
0,um,Spot,Image 1,2,55617,
0,um,Spot,Image 1,2,55618,
0,um,Spot,Image 1,2,55619,
0,um,Spot,Image 1,2,55620,
0,um,Spot,Image 1,2,55621,
1.23476,um,Spot,Image 1,2,55622,
1.49569,um,Spot,Image 1,2,55623,
2.03529,um,Spot,Image 1,2,55624,
2.43605,um,Spot,Image 1,2,55625,
2.97906,um,Spot,Image 1,2,55626,
3.68579,um,Spot,Image 1,2,55627,
3.90244,um,Spot,Image 1,2,55628,
0,um,Spot,Image 1,2,55629,
0,um,Spot,Image 1,2,55630,
0,um,Spot,Image 1,2,55631,
0,um,Spot,Image 1,2,55632,
0,um,Spot,Image 1,2,55633,
0,um,Spot,Image 1,2,55634,
0,um,Spot,Image 1,2,55635,
0,um,Spot,Image 1,2,55636,
0,um,Spot,Image 1,2,55637,
0.524837,um,Spot,Image 1,2,55638,
1.27458,um,Spot,Image 1,2,55639,
1.76884,um,Spot,Image 1,2,55640,
4.68923,um,Spot,Image 1,2,55641,
4.46097,um,Spot,Image 1,2,55642,
0,um,Spot,Image 1,2,55643,
0,um,Spot,Image 1,2,55644,
0,um,Spot,Image 1,2,55645,
0,um,Spot,Image 1,2,55646,
0,um,Spot,Image 1,2,55647,
0,um,Spot,Image 1,2,55648,
0,um,Spot,Image 1,2,55649,
0,um,Spot,Image 1,2,55650,
2.0442,um,Spot,Image 1,2,55651,
2.60729,um,Spot,Image 1,2,55652,
4.85191,um,Spot,Image 1,2,55653,
4.90442,um,Spot,Image 1,2,55654,
4.88236,um,Spot,Image 1,2,55655,
0,um,Spot,Image 1,2,55656,
0,um,Spot,Image 1,2,55657,
0,um,Spot,Image 1,2,55658,
0,um,Spot,Image 1,2,55659,
0,um,Spot,Image 1,2,55660,
0,um,Spot,Image 1,2,55661,
0,um,Spot,Image 1,2,55662,
0,um,Spot,Image 1,2,55663,
0,um,Spot,Image 1,2,55664,
0.126708,um,Spot,Image 1,2,55665,
0.995177,um,Spot,Image 1,2,55666,
3.28865,um,Spot,Image 1,2,55667,
4.10719,um,Spot,Image 1,2,55668,
4.91078,um,Spot,Image 1,2,55669,
4.97882,um,Spot,Image 1,2,55670,
0,um,Spot,Image 1,2,55671,
0,um,Spot,Image 1,2,55672,
0,um,Spot,Image 1,2,55673,
0,um,Spot,Image 1,2,55674,
0,um,Spot,Image 1,2,55675,
0,um,Spot,Image 1,2,55676,
0.576713,um,Spot,Image 1,2,55677,
0.753332,um,Spot,Image 1,2,55678,
1.17831,um,Spot,Image 1,2,55679,
1.43514,um,Spot,Image 1,2,55680,
2.06639,um,Spot,Image 1,2,55681,
2.03246,um,Spot,Image 1,2,55682,
3.00929,um,Spot,Image 1,2,55683,
4.53231,um,Spot,Image 1,2,55684,
0,um,Spot,Image 1,2,55685,
