
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,55505,
5,5,5,um,Spot,Diameter,1,55506,
5,5,5,um,Spot,Diameter,1,55507,
5,5,5,um,Spot,Diameter,1,55508,
5,5,5,um,Spot,Diameter,1,55509,
5,5,5,um,Spot,Diameter,1,55511,
5,5,5,um,Spot,Diameter,1,55512,
5,5,5,um,Spot,Diameter,1,55513,
5,5,5,um,Spot,Diameter,1,55514,
5,5,5,um,Spot,Diameter,1,55515,
5,5,5,um,Spot,Diameter,1,55517,
5,5,5,um,Spot,Diameter,1,55519,
5,5,5,um,Spot,Diameter,1,55520,
5,5,5,um,Spot,Diameter,1,55521,
5,5,5,um,Spot,Diameter,1,55524,
5,5,5,um,Spot,Diameter,1,55525,
5,5,5,um,Spot,Diameter,1,55526,
5,5,5,um,Spot,Diameter,1,55528,
5,5,5,um,Spot,Diameter,1,55529,
5,5,5,um,Spot,Diameter,1,55532,
5,5,5,um,Spot,Diameter,1,55533,
5,5,5,um,Spot,Diameter,1,55534,
5,5,5,um,Spot,Diameter,1,55535,
5,5,5,um,Spot,Diameter,1,55536,
5,5,5,um,Spot,Diameter,1,55537,
5,5,5,um,Spot,Diameter,1,55538,
5,5,5,um,Spot,Diameter,1,55539,
5,5,5,um,Spot,Diameter,1,55540,
5,5,5,um,Spot,Diameter,1,55541,
5,5,5,um,Spot,Diameter,1,55542,
5,5,5,um,Spot,Diameter,1,55543,
5,5,5,um,Spot,Diameter,1,55544,
5,5,5,um,Spot,Diameter,1,55545,
5,5,5,um,Spot,Diameter,1,55546,
5,5,5,um,Spot,Diameter,1,55548,
5,5,5,um,Spot,Diameter,1,55549,
5,5,5,um,Spot,Diameter,1,55550,
5,5,5,um,Spot,Diameter,1,55551,
5,5,5,um,Spot,Diameter,1,55552,
5,5,5,um,Spot,Diameter,1,55553,
5,5,5,um,Spot,Diameter,1,55554,
5,5,5,um,Spot,Diameter,1,55555,
5,5,5,um,Spot,Diameter,1,55556,
5,5,5,um,Spot,Diameter,1,55557,
5,5,5,um,Spot,Diameter,1,55558,
5,5,5,um,Spot,Diameter,1,55559,
5,5,5,um,Spot,Diameter,1,55560,
5,5,5,um,Spot,Diameter,1,55561,
5,5,5,um,Spot,Diameter,1,55562,
5,5,5,um,Spot,Diameter,1,55563,
5,5,5,um,Spot,Diameter,1,55564,
5,5,5,um,Spot,Diameter,1,55565,
5,5,5,um,Spot,Diameter,1,55566,
5,5,5,um,Spot,Diameter,1,55568,
5,5,5,um,Spot,Diameter,1,55569,
5,5,5,um,Spot,Diameter,1,55570,
5,5,5,um,Spot,Diameter,1,55571,
5,5,5,um,Spot,Diameter,1,55572,
5,5,5,um,Spot,Diameter,1,55573,
5,5,5,um,Spot,Diameter,1,55574,
5,5,5,um,Spot,Diameter,1,55576,
5,5,5,um,Spot,Diameter,1,55577,
5,5,5,um,Spot,Diameter,1,55578,
5,5,5,um,Spot,Diameter,1,55579,
5,5,5,um,Spot,Diameter,1,55580,
5,5,5,um,Spot,Diameter,1,55581,
5,5,5,um,Spot,Diameter,1,55582,
5,5,5,um,Spot,Diameter,2,55583,
5,5,5,um,Spot,Diameter,2,55584,
5,5,5,um,Spot,Diameter,2,55585,
5,5,5,um,Spot,Diameter,2,55586,
5,5,5,um,Spot,Diameter,2,55587,
5,5,5,um,Spot,Diameter,2,55588,
5,5,5,um,Spot,Diameter,2,55589,
5,5,5,um,Spot,Diameter,2,55590,
