
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
136.98,um,Spot,Distance from Origin,1,498,
76.9535,um,Spot,Distance from Origin,1,548,
74.0676,um,Spot,Distance from Origin,1,549,
84.4695,um,Spot,Distance from Origin,1,550,
80.9861,um,Spot,Distance from Origin,1,552,
88.6142,um,Spot,Distance from Origin,1,554,
99.4281,um,Spot,Distance from Origin,1,555,
89.8329,um,Spot,Distance from Origin,1,556,
86.6701,um,Spot,Distance from Origin,1,557,
101.226,um,Spot,Distance from Origin,1,558,
90.4674,um,Spot,Distance from Origin,1,559,
85.7821,um,Spot,Distance from Origin,1,560,
88.9126,um,Spot,Distance from Origin,1,561,
102.974,um,Spot,Distance from Origin,1,562,
94.5968,um,Spot,Distance from Origin,1,563,
99.5782,um,Spot,Distance from Origin,1,564,
94.9499,um,Spot,Distance from Origin,1,565,
102.402,um,Spot,Distance from Origin,1,566,
117.705,um,Spot,Distance from Origin,1,567,
113.834,um,Spot,Distance from Origin,1,568,
128.477,um,Spot,Distance from Origin,1,569,
112.975,um,Spot,Distance from Origin,1,570,
125.231,um,Spot,Distance from Origin,1,571,
111.705,um,Spot,Distance from Origin,1,572,
119.144,um,Spot,Distance from Origin,1,573,
133.918,um,Spot,Distance from Origin,1,575,
111.827,um,Spot,Distance from Origin,1,580,
106.393,um,Spot,Distance from Origin,1,581,
108.601,um,Spot,Distance from Origin,1,583,
99.5621,um,Spot,Distance from Origin,1,584,
119.695,um,Spot,Distance from Origin,1,585,
109.605,um,Spot,Distance from Origin,1,586,
105.135,um,Spot,Distance from Origin,1,587,
113.993,um,Spot,Distance from Origin,1,588,
98.2403,um,Spot,Distance from Origin,1,589,
101.84,um,Spot,Distance from Origin,1,590,
128.224,um,Spot,Distance from Origin,1,592,
144.394,um,Spot,Distance from Origin,1,593,
119.512,um,Spot,Distance from Origin,1,594,
133.222,um,Spot,Distance from Origin,1,595,
136.84,um,Spot,Distance from Origin,1,596,
131.369,um,Spot,Distance from Origin,1,597,
127.265,um,Spot,Distance from Origin,1,598,
133.95,um,Spot,Distance from Origin,1,599,
121.315,um,Spot,Distance from Origin,1,600,
125.305,um,Spot,Distance from Origin,1,601,
119.637,um,Spot,Distance from Origin,1,602,
114.802,um,Spot,Distance from Origin,1,603,
129.992,um,Spot,Distance from Origin,1,604,
129.966,um,Spot,Distance from Origin,1,605,
142.652,um,Spot,Distance from Origin,1,607,
138.247,um,Spot,Distance from Origin,1,610,
104.116,um,Spot,Distance from Origin,1,624,
108.222,um,Spot,Distance from Origin,1,625,
120.384,um,Spot,Distance from Origin,1,630,
126.247,um,Spot,Distance from Origin,1,640,
143.866,um,Spot,Distance from Origin,1,645,
136.188,um,Spot,Distance from Origin,1,55413,
139.859,um,Spot,Distance from Origin,1,55414,
145.792,um,Spot,Distance from Origin,1,55415,
141.567,um,Spot,Distance from Origin,1,55416,
141.376,um,Spot,Distance from Origin,1,55417,
141.325,um,Spot,Distance from Origin,1,55418,
143.495,um,Spot,Distance from Origin,1,55420,
148.538,um,Spot,Distance from Origin,1,55421,
144.943,um,Spot,Distance from Origin,1,55422,
147.153,um,Spot,Distance from Origin,1,55423,
152.257,um,Spot,Distance from Origin,1,55424,
155.692,um,Spot,Distance from Origin,1,55425,
155.197,um,Spot,Distance from Origin,1,55426,
152.318,um,Spot,Distance from Origin,1,55427,
148.219,um,Spot,Distance from Origin,1,55429,
152.311,um,Spot,Distance from Origin,1,55430,
159.425,um,Spot,Distance from Origin,1,55431,
157.515,um,Spot,Distance from Origin,1,55432,
144.9,um,Spot,Distance from Origin,1,55433,
149.671,um,Spot,Distance from Origin,1,55434,
