
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
187,,Spot,1,Image 1,1,572,
12,,Spot,1,Image 1,1,573,
353,,Spot,1,Image 1,1,575,
331,,Spot,1,Image 1,1,580,
478,,Spot,1,Image 1,1,581,
213,,Spot,1,Image 1,1,583,
365,,Spot,1,Image 1,1,584,
168,,Spot,1,Image 1,1,585,
0,,Spot,1,Image 1,1,586,
298,,Spot,1,Image 1,1,587,
134,,Spot,1,Image 1,1,588,
0,,Spot,1,Image 1,1,589,
269,,Spot,1,Image 1,1,590,
96,,Spot,1,Image 1,1,592,
96,,Spot,1,Image 1,1,593,
155,,Spot,1,Image 1,1,594,
637,,Spot,1,Image 1,1,595,
383,,Spot,1,Image 1,1,596,
255,,Spot,1,Image 1,1,597,
549,,Spot,1,Image 1,1,598,
172,,Spot,1,Image 1,1,599,
434,,Spot,1,Image 1,1,600,
362,,Spot,1,Image 1,1,601,
0,,Spot,1,Image 1,1,602,
590,,Spot,1,Image 1,1,603,
125,,Spot,1,Image 1,1,604,
189,,Spot,1,Image 1,1,605,
127,,Spot,1,Image 1,1,607,
181,,Spot,1,Image 1,1,610,
564,,Spot,1,Image 1,1,624,
251,,Spot,1,Image 1,1,625,
203,,Spot,1,Image 1,1,630,
284,,Spot,1,Image 1,1,640,
457,,Spot,1,Image 1,1,645,
683,,Spot,1,Image 1,1,55413,
192,,Spot,1,Image 1,1,55414,
194,,Spot,1,Image 1,1,55415,
262,,Spot,1,Image 1,1,55416,
446,,Spot,1,Image 1,1,55417,
1256,,Spot,1,Image 1,1,55418,
359,,Spot,1,Image 1,1,55420,
88,,Spot,1,Image 1,1,55421,
396,,Spot,1,Image 1,1,55422,
238,,Spot,1,Image 1,1,55423,
161,,Spot,1,Image 1,1,55424,
0,,Spot,1,Image 1,1,55425,
323,,Spot,1,Image 1,1,55426,
0,,Spot,1,Image 1,1,55427,
1522,,Spot,1,Image 1,1,55429,
252,,Spot,1,Image 1,1,55430,
85,,Spot,1,Image 1,1,55431,
225,,Spot,1,Image 1,1,55432,
170,,Spot,1,Image 1,1,55433,
184,,Spot,1,Image 1,1,55434,
325,,Spot,1,Image 1,1,55435,
321,,Spot,1,Image 1,1,55436,
356,,Spot,1,Image 1,1,55437,
380,,Spot,1,Image 1,1,55438,
445,,Spot,1,Image 1,1,55439,
792,,Spot,1,Image 1,1,55440,
323,,Spot,1,Image 1,1,55441,
597,,Spot,1,Image 1,1,55442,
0,,Spot,1,Image 1,1,55444,
215,,Spot,1,Image 1,1,55445,
111,,Spot,1,Image 1,1,55446,
818,,Spot,1,Image 1,1,55447,
620,,Spot,1,Image 1,1,55449,
882,,Spot,1,Image 1,1,55450,
202,,Spot,1,Image 1,1,55452,
183,,Spot,1,Image 1,1,55453,
358,,Spot,1,Image 1,1,55454,
551,,Spot,1,Image 1,1,55455,
268,,Spot,1,Image 1,1,55456,
837,,Spot,1,Image 1,1,55458,
144,,Spot,1,Image 1,1,55459,
330,,Spot,1,Image 1,1,55460,
225,,Spot,1,Image 1,1,55461,
267,,Spot,1,Image 1,1,55462,
476,,Spot,1,Image 1,1,55464,
100,,Spot,1,Image 1,1,55465,
974,,Spot,1,Image 1,1,55466,
318,,Spot,1,Image 1,1,55468,
319,,Spot,1,Image 1,1,55469,
568,,Spot,1,Image 1,1,55470,
440,,Spot,1,Image 1,1,55471,
377,,Spot,1,Image 1,1,55472,
853,,Spot,1,Image 1,1,55474,
246,,Spot,1,Image 1,1,55475,
325,,Spot,1,Image 1,1,55476,
0,,Spot,1,Image 1,1,55477,
587,,Spot,1,Image 1,1,55478,
297,,Spot,1,Image 1,1,55479,
468,,Spot,1,Image 1,1,55480,
344,,Spot,1,Image 1,1,55481,
393,,Spot,1,Image 1,1,55482,
261,,Spot,1,Image 1,1,55483,
617,,Spot,1,Image 1,1,55484,
285,,Spot,1,Image 1,1,55485,
330,,Spot,1,Image 1,1,55486,
478,,Spot,1,Image 1,1,55487,
535,,Spot,1,Image 1,1,55488,
601,,Spot,1,Image 1,1,55491,
47,,Spot,1,Image 1,1,55492,
428,,Spot,1,Image 1,1,55493,
966,,Spot,1,Image 1,1,55494,
361,,Spot,1,Image 1,1,55495,
27,,Spot,1,Image 1,1,55496,
392,,Spot,1,Image 1,1,55497,
224,,Spot,1,Image 1,1,55498,
426,,Spot,1,Image 1,1,55499,
352,,Spot,1,Image 1,1,55500,
360,,Spot,1,Image 1,1,55501,
765,,Spot,1,Image 1,1,55502,
193,,Spot,1,Image 1,1,55503,
516,,Spot,1,Image 1,1,55505,
442,,Spot,1,Image 1,1,55506,
288,,Spot,1,Image 1,1,55507,
288,,Spot,1,Image 1,1,55508,
1827,,Spot,1,Image 1,1,55509,
101,,Spot,1,Image 1,1,55511,
704,,Spot,1,Image 1,1,55512,
233,,Spot,1,Image 1,1,55513,
277,,Spot,1,Image 1,1,55514,
520,,Spot,1,Image 1,1,55515,
267,,Spot,1,Image 1,1,55517,
241,,Spot,1,Image 1,1,55519,
237,,Spot,1,Image 1,1,55520,
378,,Spot,1,Image 1,1,55521,
889,,Spot,1,Image 1,1,55524,
349,,Spot,1,Image 1,1,55525,
40,,Spot,1,Image 1,1,55526,
570,,Spot,1,Image 1,1,55528,
514,,Spot,1,Image 1,1,55529,
736,,Spot,1,Image 1,1,55532,
727,,Spot,1,Image 1,1,55533,
294,,Spot,1,Image 1,1,55534,
649,,Spot,1,Image 1,1,55535,
627,,Spot,1,Image 1,1,55536,
364,,Spot,1,Image 1,1,55537,
326,,Spot,1,Image 1,1,55538,
247,,Spot,1,Image 1,1,55539,
36,,Spot,1,Image 1,1,55540,
361,,Spot,1,Image 1,1,55541,
1144,,Spot,1,Image 1,1,55542,
440,,Spot,1,Image 1,1,55543,
338,,Spot,1,Image 1,1,55544,
101,,Spot,1,Image 1,1,55545,
588,,Spot,1,Image 1,1,55546,
636,,Spot,1,Image 1,1,55548,
769,,Spot,1,Image 1,1,55549,
207,,Spot,1,Image 1,1,55550,
266,,Spot,1,Image 1,1,55551,
26,,Spot,1,Image 1,1,55552,
178,,Spot,1,Image 1,1,55553,
337,,Spot,1,Image 1,1,55554,
222,,Spot,1,Image 1,1,55555,
118,,Spot,1,Image 1,1,55556,
222,,Spot,1,Image 1,1,55557,
653,,Spot,1,Image 1,1,55558,
921,,Spot,1,Image 1,1,55559,
269,,Spot,1,Image 1,1,55560,
189,,Spot,1,Image 1,1,55561,
197,,Spot,1,Image 1,1,55562,
77,,Spot,1,Image 1,1,55563,
2280,,Spot,1,Image 1,1,55564,
973,,Spot,1,Image 1,1,55565,
744,,Spot,1,Image 1,1,55566,
588,,Spot,1,Image 1,1,55568,
438,,Spot,1,Image 1,1,55569,
605,,Spot,1,Image 1,1,55570,
196,,Spot,1,Image 1,1,55571,
125,,Spot,1,Image 1,1,55572,
209,,Spot,1,Image 1,1,55573,
488,,Spot,1,Image 1,1,55574,
1340,,Spot,1,Image 1,1,55576,
752,,Spot,1,Image 1,1,55577,
261,,Spot,1,Image 1,1,55578,
768,,Spot,1,Image 1,1,55579,
808,,Spot,1,Image 1,1,55580,
307,,Spot,1,Image 1,1,55581,
808,,Spot,1,Image 1,1,55582,
840,,Spot,1,Image 1,2,55583,
276,,Spot,1,Image 1,2,55584,
398,,Spot,1,Image 1,2,55585,
272,,Spot,1,Image 1,2,55586,
177,,Spot,1,Image 1,2,55587,
433,,Spot,1,Image 1,2,55588,
568,,Spot,1,Image 1,2,55589,
181,,Spot,1,Image 1,2,55590,
879,,Spot,1,Image 1,2,55591,
289,,Spot,1,Image 1,2,55592,
506,,Spot,1,Image 1,2,55593,
21,,Spot,1,Image 1,2,55594,
0,,Spot,1,Image 1,2,55595,
30,,Spot,1,Image 1,2,55596,
931,,Spot,1,Image 1,2,55597,
200,,Spot,1,Image 1,2,55598,
91,,Spot,1,Image 1,2,55599,
375,,Spot,1,Image 1,2,55600,
509,,Spot,1,Image 1,2,55601,
509,,Spot,1,Image 1,2,55602,
480,,Spot,1,Image 1,2,55603,
967,,Spot,1,Image 1,2,55604,
927,,Spot,1,Image 1,2,55605,
393,,Spot,1,Image 1,2,55606,
178,,Spot,1,Image 1,2,55607,
188,,Spot,1,Image 1,2,55608,
349,,Spot,1,Image 1,2,55609,
