
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
2945,,Spot,1,Image 1,1,587,
2399,,Spot,1,Image 1,1,588,
3699,,Spot,1,Image 1,1,589,
3645,,Spot,1,Image 1,1,590,
2399,,Spot,1,Image 1,1,592,
1775,,Spot,1,Image 1,1,593,
2444,,Spot,1,Image 1,1,594,
2297,,Spot,1,Image 1,1,595,
2201,,Spot,1,Image 1,1,596,
3515,,Spot,1,Image 1,1,597,
3018,,Spot,1,Image 1,1,598,
3051,,Spot,1,Image 1,1,599,
3128,,Spot,1,Image 1,1,600,
3652,,Spot,1,Image 1,1,601,
3228,,Spot,1,Image 1,1,602,
953,,Spot,1,Image 1,1,603,
3482,,Spot,1,Image 1,1,604,
2571,,Spot,1,Image 1,1,605,
3310,,Spot,1,Image 1,1,607,
3494,,Spot,1,Image 1,1,610,
3175,,Spot,1,Image 1,1,624,
4348,,Spot,1,Image 1,1,625,
3310,,Spot,1,Image 1,1,630,
3103,,Spot,1,Image 1,1,640,
1894,,Spot,1,Image 1,1,645,
2904,,Spot,1,Image 1,1,55413,
2844,,Spot,1,Image 1,1,55414,
5262,,Spot,1,Image 1,1,55415,
2565,,Spot,1,Image 1,1,55416,
3406,,Spot,1,Image 1,1,55417,
2773,,Spot,1,Image 1,1,55418,
3136,,Spot,1,Image 1,1,55420,
2914,,Spot,1,Image 1,1,55421,
3736,,Spot,1,Image 1,1,55422,
3964,,Spot,1,Image 1,1,55423,
3325,,Spot,1,Image 1,1,55424,
2651,,Spot,1,Image 1,1,55425,
3802,,Spot,1,Image 1,1,55426,
2704,,Spot,1,Image 1,1,55427,
3432,,Spot,1,Image 1,1,55429,
2750,,Spot,1,Image 1,1,55430,
2171,,Spot,1,Image 1,1,55431,
3580,,Spot,1,Image 1,1,55432,
4145,,Spot,1,Image 1,1,55433,
3521,,Spot,1,Image 1,1,55434,
3039,,Spot,1,Image 1,1,55435,
2292,,Spot,1,Image 1,1,55436,
3056,,Spot,1,Image 1,1,55437,
3561,,Spot,1,Image 1,1,55438,
4316,,Spot,1,Image 1,1,55439,
3088,,Spot,1,Image 1,1,55440,
3066,,Spot,1,Image 1,1,55441,
4470,,Spot,1,Image 1,1,55442,
3906,,Spot,1,Image 1,1,55444,
2656,,Spot,1,Image 1,1,55445,
1936,,Spot,1,Image 1,1,55446,
3029,,Spot,1,Image 1,1,55447,
3634,,Spot,1,Image 1,1,55449,
2951,,Spot,1,Image 1,1,55450,
2179,,Spot,1,Image 1,1,55452,
2278,,Spot,1,Image 1,1,55453,
2698,,Spot,1,Image 1,1,55454,
3191,,Spot,1,Image 1,1,55455,
3853,,Spot,1,Image 1,1,55456,
4664,,Spot,1,Image 1,1,55458,
3269,,Spot,1,Image 1,1,55459,
1637,,Spot,1,Image 1,1,55460,
3437,,Spot,1,Image 1,1,55461,
2784,,Spot,1,Image 1,1,55462,
3338,,Spot,1,Image 1,1,55464,
1736,,Spot,1,Image 1,1,55465,
2149,,Spot,1,Image 1,1,55466,
1028,,Spot,1,Image 1,1,55468,
3976,,Spot,1,Image 1,1,55469,
2759,,Spot,1,Image 1,1,55470,
3453,,Spot,1,Image 1,1,55471,
2795,,Spot,1,Image 1,1,55472,
2628,,Spot,1,Image 1,1,55474,
2952,,Spot,1,Image 1,1,55475,
4362,,Spot,1,Image 1,1,55476,
2654,,Spot,1,Image 1,1,55477,
2607,,Spot,1,Image 1,1,55478,
2039,,Spot,1,Image 1,1,55479,
1603,,Spot,1,Image 1,1,55480,
3419,,Spot,1,Image 1,1,55481,
3139,,Spot,1,Image 1,1,55482,
3260,,Spot,1,Image 1,1,55483,
2569,,Spot,1,Image 1,1,55484,
3256,,Spot,1,Image 1,1,55485,
3837,,Spot,1,Image 1,1,55486,
3570,,Spot,1,Image 1,1,55487,
4257,,Spot,1,Image 1,1,55488,
3443,,Spot,1,Image 1,1,55491,
1470,,Spot,1,Image 1,1,55492,
5075,,Spot,1,Image 1,1,55493,
3463,,Spot,1,Image 1,1,55494,
2770,,Spot,1,Image 1,1,55495,
2925,,Spot,1,Image 1,1,55496,
4007,,Spot,1,Image 1,1,55497,
3639,,Spot,1,Image 1,1,55498,
5360,,Spot,1,Image 1,1,55499,
1630,,Spot,1,Image 1,1,55500,
3894,,Spot,1,Image 1,1,55501,
3114,,Spot,1,Image 1,1,55502,
2316,,Spot,1,Image 1,1,55503,
2604,,Spot,1,Image 1,1,55505,
2667,,Spot,1,Image 1,1,55506,
2621,,Spot,1,Image 1,1,55507,
2534,,Spot,1,Image 1,1,55508,
2624,,Spot,1,Image 1,1,55509,
3291,,Spot,1,Image 1,1,55511,
3801,,Spot,1,Image 1,1,55512,
2987,,Spot,1,Image 1,1,55513,
2922,,Spot,1,Image 1,1,55514,
3334,,Spot,1,Image 1,1,55515,
2761,,Spot,1,Image 1,1,55517,
5576,,Spot,1,Image 1,1,55519,
1922,,Spot,1,Image 1,1,55520,
2613,,Spot,1,Image 1,1,55521,
3480,,Spot,1,Image 1,1,55524,
2637,,Spot,1,Image 1,1,55525,
1737,,Spot,1,Image 1,1,55526,
3226,,Spot,1,Image 1,1,55528,
3871,,Spot,1,Image 1,1,55529,
