
Intensity Min Ch=6 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,6,Image 1,1,560,
0,,Spot,6,Image 1,1,561,
0,,Spot,6,Image 1,1,562,
0,,Spot,6,Image 1,1,563,
0,,Spot,6,Image 1,1,564,
0,,Spot,6,Image 1,1,565,
0,,Spot,6,Image 1,1,566,
0,,Spot,6,Image 1,1,567,
0,,Spot,6,Image 1,1,568,
0,,Spot,6,Image 1,1,569,
0,,Spot,6,Image 1,1,570,
0,,Spot,6,Image 1,1,571,
0,,Spot,6,Image 1,1,572,
0,,Spot,6,Image 1,1,573,
0,,Spot,6,Image 1,1,575,
0,,Spot,6,Image 1,1,580,
0,,Spot,6,Image 1,1,581,
0,,Spot,6,Image 1,1,583,
0,,Spot,6,Image 1,1,584,
0,,Spot,6,Image 1,1,585,
0,,Spot,6,Image 1,1,586,
0,,Spot,6,Image 1,1,587,
0,,Spot,6,Image 1,1,588,
0,,Spot,6,Image 1,1,589,
0,,Spot,6,Image 1,1,590,
0,,Spot,6,Image 1,1,592,
0,,Spot,6,Image 1,1,593,
0,,Spot,6,Image 1,1,594,
0,,Spot,6,Image 1,1,595,
0,,Spot,6,Image 1,1,596,
0,,Spot,6,Image 1,1,597,
0,,Spot,6,Image 1,1,598,
0,,Spot,6,Image 1,1,599,
0,,Spot,6,Image 1,1,600,
0,,Spot,6,Image 1,1,601,
0,,Spot,6,Image 1,1,602,
0,,Spot,6,Image 1,1,603,
0,,Spot,6,Image 1,1,604,
0,,Spot,6,Image 1,1,605,
0,,Spot,6,Image 1,1,607,
0,,Spot,6,Image 1,1,610,
0,,Spot,6,Image 1,1,624,
0,,Spot,6,Image 1,1,625,
0,,Spot,6,Image 1,1,630,
0,,Spot,6,Image 1,1,640,
0,,Spot,6,Image 1,1,645,
0,,Spot,6,Image 1,1,55413,
0,,Spot,6,Image 1,1,55414,
0,,Spot,6,Image 1,1,55415,
0,,Spot,6,Image 1,1,55416,
0,,Spot,6,Image 1,1,55417,
0,,Spot,6,Image 1,1,55418,
0,,Spot,6,Image 1,1,55420,
0,,Spot,6,Image 1,1,55421,
0,,Spot,6,Image 1,1,55422,
