
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
51.3628,,Spot,4,Image 1,1,558,
93.6524,,Spot,4,Image 1,1,559,
90.3442,,Spot,4,Image 1,1,560,
84.247,,Spot,4,Image 1,1,561,
5.04223,,Spot,4,Image 1,1,562,
45.0778,,Spot,4,Image 1,1,563,
143.218,,Spot,4,Image 1,1,564,
26.1715,,Spot,4,Image 1,1,565,
140.454,,Spot,4,Image 1,1,566,
38.2214,,Spot,4,Image 1,1,567,
13.5785,,Spot,4,Image 1,1,568,
91.4902,,Spot,4,Image 1,1,569,
6.77007,,Spot,4,Image 1,1,570,
37.8391,,Spot,4,Image 1,1,571,
51.0901,,Spot,4,Image 1,1,572,
116.78,,Spot,4,Image 1,1,573,
32.767,,Spot,4,Image 1,1,575,
15.4333,,Spot,4,Image 1,1,580,
176.611,,Spot,4,Image 1,1,581,
6.73333,,Spot,4,Image 1,1,583,
7.05878,,Spot,4,Image 1,1,584,
8.50527,,Spot,4,Image 1,1,585,
84.0637,,Spot,4,Image 1,1,586,
92.1848,,Spot,4,Image 1,1,587,
28.8311,,Spot,4,Image 1,1,588,
129.127,,Spot,4,Image 1,1,589,
37.2771,,Spot,4,Image 1,1,590,
32.0441,,Spot,4,Image 1,1,592,
18.9632,,Spot,4,Image 1,1,593,
33.2644,,Spot,4,Image 1,1,594,
22.655,,Spot,4,Image 1,1,595,
34.7128,,Spot,4,Image 1,1,596,
46.5185,,Spot,4,Image 1,1,597,
112.054,,Spot,4,Image 1,1,598,
147.002,,Spot,4,Image 1,1,599,
37.5662,,Spot,4,Image 1,1,600,
124.315,,Spot,4,Image 1,1,601,
75.5884,,Spot,4,Image 1,1,602,
0.650164,,Spot,4,Image 1,1,603,
70.8219,,Spot,4,Image 1,1,604,
9.28239,,Spot,4,Image 1,1,605,
72.0594,,Spot,4,Image 1,1,607,
180.686,,Spot,4,Image 1,1,610,
87.2311,,Spot,4,Image 1,1,624,
135.327,,Spot,4,Image 1,1,625,
103.301,,Spot,4,Image 1,1,630,
82.8288,,Spot,4,Image 1,1,640,
112.934,,Spot,4,Image 1,1,645,
125.815,,Spot,4,Image 1,1,55413,
188.825,,Spot,4,Image 1,1,55414,
105.089,,Spot,4,Image 1,1,55415,
179.831,,Spot,4,Image 1,1,55416,
168.546,,Spot,4,Image 1,1,55417,
169.933,,Spot,4,Image 1,1,55418,
146.295,,Spot,4,Image 1,1,55420,
100.66,,Spot,4,Image 1,1,55421,
198.66,,Spot,4,Image 1,1,55422,
98.4355,,Spot,4,Image 1,1,55423,
99.9935,,Spot,4,Image 1,1,55424,
41.399,,Spot,4,Image 1,1,55425,
317.157,,Spot,4,Image 1,1,55426,
108.025,,Spot,4,Image 1,1,55427,
126.088,,Spot,4,Image 1,1,55429,
97.5531,,Spot,4,Image 1,1,55430,
44.0891,,Spot,4,Image 1,1,55431,
60.5847,,Spot,4,Image 1,1,55432,
133.937,,Spot,4,Image 1,1,55433,
214.028,,Spot,4,Image 1,1,55434,
121.621,,Spot,4,Image 1,1,55435,
94.1474,,Spot,4,Image 1,1,55436,
96.3767,,Spot,4,Image 1,1,55437,
168.105,,Spot,4,Image 1,1,55438,
171.901,,Spot,4,Image 1,1,55439,
100.157,,Spot,4,Image 1,1,55440,
165.741,,Spot,4,Image 1,1,55441,
104.783,,Spot,4,Image 1,1,55442,
181.743,,Spot,4,Image 1,1,55444,
126.557,,Spot,4,Image 1,1,55445,
22.9986,,Spot,4,Image 1,1,55446,
46.2825,,Spot,4,Image 1,1,55447,
121.612,,Spot,4,Image 1,1,55449,
217.207,,Spot,4,Image 1,1,55450,
8.91933,,Spot,4,Image 1,1,55452,
57.9428,,Spot,4,Image 1,1,55453,
91.655,,Spot,4,Image 1,1,55454,
54.5005,,Spot,4,Image 1,1,55455,
141.908,,Spot,4,Image 1,1,55456,
282.603,,Spot,4,Image 1,1,55458,
43.3478,,Spot,4,Image 1,1,55459,
11.8401,,Spot,4,Image 1,1,55460,
118.717,,Spot,4,Image 1,1,55461,
53.3303,,Spot,4,Image 1,1,55462,
64.1724,,Spot,4,Image 1,1,55464,
13.2526,,Spot,4,Image 1,1,55465,
69.898,,Spot,4,Image 1,1,55466,
0.648168,,Spot,4,Image 1,1,55468,
227.885,,Spot,4,Image 1,1,55469,
72.2969,,Spot,4,Image 1,1,55470,
278.799,,Spot,4,Image 1,1,55471,
