
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
20.3569,um,Spot,Image 1,1,559,
25.678,um,Spot,Image 1,1,560,
45.0909,um,Spot,Image 1,1,603,
34.3728,um,Spot,Image 1,1,53019,
32.3676,um,Spot,Image 1,1,53020,
30.8081,um,Spot,Image 1,1,53022,
10.9465,um,Spot,Image 1,1,53023,
11.526,um,Spot,Image 1,1,53024,
15.6211,um,Spot,Image 1,1,53025,
29.0817,um,Spot,Image 1,1,53027,
29.0663,um,Spot,Image 1,1,53028,
11.8639,um,Spot,Image 1,1,53029,
6.90811,um,Spot,Image 1,1,53030,
16.9659,um,Spot,Image 1,1,53031,
12.8103,um,Spot,Image 1,1,53032,
7.82463,um,Spot,Image 1,1,53033,
8.93062,um,Spot,Image 1,1,53034,
4.29529,um,Spot,Image 1,1,53035,
10.0544,um,Spot,Image 1,1,53036,
1.0625,um,Spot,Image 1,1,53037,
6.63898,um,Spot,Image 1,1,53038,
0.483658,um,Spot,Image 1,1,53039,
6.31847,um,Spot,Image 1,1,53040,
3.10898,um,Spot,Image 1,1,53041,
0.970474,um,Spot,Image 1,1,53042,
6.8213,um,Spot,Image 1,1,53043,
12.3087,um,Spot,Image 1,1,53044,
20.8124,um,Spot,Image 1,1,53045,
13.0124,um,Spot,Image 1,1,53046,
10.1084,um,Spot,Image 1,1,53048,
14.7667,um,Spot,Image 1,1,53049,
9.61557,um,Spot,Image 1,1,53050,
6.30046,um,Spot,Image 1,1,53052,
8.21852,um,Spot,Image 1,1,53053,
30.9928,um,Spot,Image 1,1,53055,
33.8661,um,Spot,Image 1,1,53056,
33.2249,um,Spot,Image 1,1,53057,
29.2036,um,Spot,Image 1,1,53058,
23.4558,um,Spot,Image 1,1,53059,
33.1851,um,Spot,Image 1,1,53060,
43.7583,um,Spot,Image 1,1,53061,
31.9338,um,Spot,Image 1,1,53062,
46.8834,um,Spot,Image 1,1,53063,
41.3715,um,Spot,Image 1,1,53065,
44.4743,um,Spot,Image 1,1,53066,
39.093,um,Spot,Image 1,1,53067,
14.3211,um,Spot,Image 1,1,53068,
2.21611,um,Spot,Image 1,1,53069,
1.84453,um,Spot,Image 1,1,53071,
6.06865,um,Spot,Image 1,1,53072,
35.4868,um,Spot,Image 1,1,53073,
30.8925,um,Spot,Image 1,1,53075,
37.9376,um,Spot,Image 1,1,53078,
27.0205,um,Spot,Image 1,1,53079,
27.6889,um,Spot,Image 1,1,53080,
30.5627,um,Spot,Image 1,1,53081,
33.9272,um,Spot,Image 1,1,53082,
35.264,um,Spot,Image 1,1,53083,
33.8539,um,Spot,Image 1,1,53084,
28.4885,um,Spot,Image 1,1,53085,
31.0472,um,Spot,Image 1,1,53086,
31.2537,um,Spot,Image 1,1,53087,
24.1482,um,Spot,Image 1,1,53088,
31.0309,um,Spot,Image 1,1,53090,
46.7474,um,Spot,Image 1,1,53091,
39.7195,um,Spot,Image 1,1,53092,
44.5963,um,Spot,Image 1,1,53094,
28.1345,um,Spot,Image 1,1,53095,
26.6137,um,Spot,Image 1,1,53096,
38.8287,um,Spot,Image 1,1,53097,
28.5801,um,Spot,Image 1,1,53098,
37.977,um,Spot,Image 1,1,53099,
25.9065,um,Spot,Image 1,1,53100,
24.1242,um,Spot,Image 1,1,53101,
15.4156,um,Spot,Image 1,1,53102,
14.2049,um,Spot,Image 1,1,53103,
9.64241,um,Spot,Image 1,1,53104,
13.4299,um,Spot,Image 1,1,53105,
24.2004,um,Spot,Image 1,1,53106,
31.0246,um,Spot,Image 1,1,53107,
15.362,um,Spot,Image 1,1,53108,
16.4652,um,Spot,Image 1,1,53109,
15.1508,um,Spot,Image 1,1,53110,
11.8276,um,Spot,Image 1,1,53111,
4.96274,um,Spot,Image 1,1,53112,
5.63206,um,Spot,Image 1,1,53113,
15.0821,um,Spot,Image 1,1,53115,
13.9293,um,Spot,Image 1,1,53116,
17.5041,um,Spot,Image 1,1,53118,
12.6161,um,Spot,Image 1,1,53119,
12.8839,um,Spot,Image 1,1,53120,
18.8998,um,Spot,Image 1,1,53121,
13.8553,um,Spot,Image 1,1,53122,
0,um,Spot,Image 1,1,53123,
5.28079,um,Spot,Image 1,1,53124,
5.12381,um,Spot,Image 1,1,53125,
8.90662,um,Spot,Image 1,1,53126,
8.07988,um,Spot,Image 1,1,53127,
27.197,um,Spot,Image 1,1,53128,
31.0309,um,Spot,Image 1,1,53129,
31.0309,um,Spot,Image 1,1,53130,
26.3521,um,Spot,Image 1,1,53131,
33.9272,um,Spot,Image 1,1,53132,
36.6008,um,Spot,Image 1,1,53133,
33.9272,um,Spot,Image 1,1,53134,
38.3831,um,Spot,Image 1,1,53135,
34.3728,um,Spot,Image 1,1,53136,
34.2927,um,Spot,Image 1,1,53137,
22.5057,um,Spot,Image 1,1,53138,
26.7174,um,Spot,Image 1,1,53140,
33.036,um,Spot,Image 1,1,53141,
26.1293,um,Spot,Image 1,1,53142,
36.6008,um,Spot,Image 1,1,53143,
37.0464,um,Spot,Image 1,1,53144,
36.1552,um,Spot,Image 1,1,53145,
36.1552,um,Spot,Image 1,1,53146,
33.9272,um,Spot,Image 1,1,53147,
29.2485,um,Spot,Image 1,1,53148,
32.3676,um,Spot,Image 1,1,53149,
24.629,um,Spot,Image 1,1,53150,
30.1706,um,Spot,Image 1,1,53152,
35.5745,um,Spot,Image 1,1,53154,
37.2692,um,Spot,Image 1,1,53155,
29.0257,um,Spot,Image 1,1,53157,
31.8977,um,Spot,Image 1,1,53159,
39.76,um,Spot,Image 1,1,53160,
11.7176,um,Spot,Image 1,1,53163,
14.1866,um,Spot,Image 1,1,53164,
22.8937,um,Spot,Image 1,1,53165,
16.503,um,Spot,Image 1,1,53166,
19.2702,um,Spot,Image 1,1,53167,
37.492,um,Spot,Image 1,1,53168,
44.0666,um,Spot,Image 1,1,53169,
37.7907,um,Spot,Image 1,1,53170,
36.6008,um,Spot,Image 1,1,53171,
18.1455,um,Spot,Image 1,1,53172,
12.8491,um,Spot,Image 1,1,53173,
22.7417,um,Spot,Image 1,1,53174,
16.9288,um,Spot,Image 1,1,53175,
32.9255,um,Spot,Image 1,1,53176,
25.6838,um,Spot,Image 1,1,53177,
26.0571,um,Spot,Image 1,1,53179,
22.119,um,Spot,Image 1,1,53180,
38.8287,um,Spot,Image 1,1,53181,
32.5904,um,Spot,Image 1,1,53182,
33.2588,um,Spot,Image 1,1,53183,
30.8081,um,Spot,Image 1,1,53184,
31.2537,um,Spot,Image 1,1,53185,
35.1477,um,Spot,Image 1,1,53186,
24.3938,um,Spot,Image 1,1,53187,
35.7096,um,Spot,Image 1,1,53188,
35.5567,um,Spot,Image 1,1,53189,
33.3121,um,Spot,Image 1,1,53190,
43.7303,um,Spot,Image 1,1,53191,
41.6101,um,Spot,Image 1,1,53192,
35.7096,um,Spot,Image 1,1,53193,
35.7096,um,Spot,Image 1,1,53194,
14.7968,um,Spot,Image 1,1,53195,
24.185,um,Spot,Image 1,1,53196,
27.2112,um,Spot,Image 1,1,53197,
36.8236,um,Spot,Image 1,1,53198,
42.0678,um,Spot,Image 1,1,53199,
27.5412,um,Spot,Image 1,1,53200,
30.0534,um,Spot,Image 1,1,53201,
16.8509,um,Spot,Image 1,1,53203,
19.852,um,Spot,Image 1,1,53204,
21.005,um,Spot,Image 1,1,53205,
6.45461,um,Spot,Image 1,1,53206,
2.69803,um,Spot,Image 1,1,53207,
9.32025,um,Spot,Image 1,1,53208,
11.8443,um,Spot,Image 1,1,53209,
15.0601,um,Spot,Image 1,1,53210,
22.9822,um,Spot,Image 1,1,53211,
14.2797,um,Spot,Image 1,1,53212,
16.8791,um,Spot,Image 1,1,53213,
23.233,um,Spot,Image 1,1,53214,
18.0557,um,Spot,Image 1,1,53215,
12.0717,um,Spot,Image 1,1,53216,
31.389,um,Spot,Image 1,1,53217,
30.9103,um,Spot,Image 1,1,53218,
16.668,um,Spot,Image 1,1,53219,
19.0534,um,Spot,Image 1,1,53220,
