
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
712.4,,Spot,1,Image 1,2,53288,
1029.47,,Spot,1,Image 1,2,53289,
946.504,,Spot,1,Image 1,2,53290,
473.728,,Spot,1,Image 1,2,53291,
2768.15,,Spot,1,Image 1,2,53292,
914.776,,Spot,1,Image 1,2,53293,
1014.51,,Spot,1,Image 1,2,53294,
1014.69,,Spot,1,Image 1,2,53295,
730.824,,Spot,1,Image 1,2,53296,
801.704,,Spot,1,Image 1,2,53297,
561.92,,Spot,1,Image 1,2,53298,
758.376,,Spot,1,Image 1,2,53299,
551.656,,Spot,1,Image 1,2,53300,
662.876,,Spot,1,Image 1,2,53301,
538.16,,Spot,1,Image 1,2,53302,
771.36,,Spot,1,Image 1,2,53303,
906.64,,Spot,1,Image 1,2,53304,
1047.4,,Spot,1,Image 1,2,53305,
912.736,,Spot,1,Image 1,2,53306,
756.2,,Spot,1,Image 1,2,53307,
659.672,,Spot,1,Image 1,2,53308,
962.952,,Spot,1,Image 1,2,53309,
1045.62,,Spot,1,Image 1,2,53310,
1045.2,,Spot,1,Image 1,2,53311,
721.936,,Spot,1,Image 1,2,53312,
820.088,,Spot,1,Image 1,2,53313,
471.4,,Spot,1,Image 1,2,53314,
674.644,,Spot,1,Image 1,2,53315,
546.8,,Spot,1,Image 1,2,53316,
858.688,,Spot,1,Image 1,2,53317,
688.824,,Spot,1,Image 1,2,53318,
510.616,,Spot,1,Image 1,2,53319,
672.672,,Spot,1,Image 1,2,53320,
818.256,,Spot,1,Image 1,2,53321,
659.64,,Spot,1,Image 1,2,53322,
882.172,,Spot,1,Image 1,2,53323,
591.68,,Spot,1,Image 1,2,53324,
400.888,,Spot,1,Image 1,2,53325,
828.784,,Spot,1,Image 1,2,53326,
490.02,,Spot,1,Image 1,2,53327,
585.664,,Spot,1,Image 1,2,53328,
605.4,,Spot,1,Image 1,2,53329,
810.12,,Spot,1,Image 1,2,53330,
616.56,,Spot,1,Image 1,2,53331,
860,,Spot,1,Image 1,2,53332,
1524.28,,Spot,1,Image 1,2,53333,
1147.51,,Spot,1,Image 1,2,53334,
843.816,,Spot,1,Image 1,2,53335,
912.2,,Spot,1,Image 1,2,53336,
794,,Spot,1,Image 1,2,53337,
823.84,,Spot,1,Image 1,2,53338,
1031.49,,Spot,1,Image 1,2,53339,
948.24,,Spot,1,Image 1,2,53340,
781.732,,Spot,1,Image 1,2,53341,
734.48,,Spot,1,Image 1,2,53342,
579.288,,Spot,1,Image 1,2,53343,
660.74,,Spot,1,Image 1,2,53344,
766.128,,Spot,1,Image 1,2,53345,
864.62,,Spot,1,Image 1,2,53346,
588.672,,Spot,1,Image 1,2,53347,
987.36,,Spot,1,Image 1,2,53348,
411.76,,Spot,1,Image 1,2,53349,
1140.92,,Spot,1,Image 1,2,53350,
1034.98,,Spot,1,Image 1,2,53351,
928.32,,Spot,1,Image 1,2,53352,
795.96,,Spot,1,Image 1,2,53353,
699.14,,Spot,1,Image 1,2,53354,
267.566,,Spot,1,Image 1,2,53355,
771.64,,Spot,1,Image 1,2,53356,
607.664,,Spot,1,Image 1,2,53357,
723.128,,Spot,1,Image 1,2,53358,
599.176,,Spot,1,Image 1,2,53359,
490.792,,Spot,1,Image 1,2,53360,
571.8,,Spot,1,Image 1,2,53361,
810.036,,Spot,1,Image 1,2,53362,
1005.98,,Spot,1,Image 1,2,53363,
656.936,,Spot,1,Image 1,2,53364,
616.4,,Spot,1,Image 1,2,53365,
752.312,,Spot,1,Image 1,2,53366,
684.36,,Spot,1,Image 1,2,53367,
875.28,,Spot,1,Image 1,2,53368,
645.016,,Spot,1,Image 1,2,53369,
1232.96,,Spot,1,Image 1,2,53370,
1063.97,,Spot,1,Image 1,2,53371,
980.088,,Spot,1,Image 1,2,53372,
660.6,,Spot,1,Image 1,2,53373,
695.3,,Spot,1,Image 1,2,53374,
