
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
7.82463,um,Spot,Image 1,1,53033,
0,um,Spot,Image 1,1,53034,
0,um,Spot,Image 1,1,53035,
10.0544,um,Spot,Image 1,1,53036,
1.0625,um,Spot,Image 1,1,53037,
6.63898,um,Spot,Image 1,1,53038,
0.483658,um,Spot,Image 1,1,53039,
6.31847,um,Spot,Image 1,1,53040,
3.10898,um,Spot,Image 1,1,53041,
0.970474,um,Spot,Image 1,1,53042,
6.8213,um,Spot,Image 1,1,53043,
12.3087,um,Spot,Image 1,1,53044,
11.18,um,Spot,Image 1,1,53045,
13.0124,um,Spot,Image 1,1,53046,
3.5,um,Spot,Image 1,1,53048,
1.78632,um,Spot,Image 1,1,53049,
9.61557,um,Spot,Image 1,1,53050,
0,um,Spot,Image 1,1,53052,
8.21852,um,Spot,Image 1,1,53053,
14.249,um,Spot,Image 1,1,53055,
16.8981,um,Spot,Image 1,1,53056,
13.6683,um,Spot,Image 1,1,53057,
16.894,um,Spot,Image 1,1,53058,
15.8653,um,Spot,Image 1,1,53059,
9.26,um,Spot,Image 1,1,53060,
9.26,um,Spot,Image 1,1,53061,
8.78,um,Spot,Image 1,1,53062,
4.94,um,Spot,Image 1,1,53063,
6.38,um,Spot,Image 1,1,53065,
6.86,um,Spot,Image 1,1,53066,
14.54,um,Spot,Image 1,1,53067,
0,um,Spot,Image 1,1,53068,
2.21611,um,Spot,Image 1,1,53069,
1.84453,um,Spot,Image 1,1,53071,
2.06,um,Spot,Image 1,1,53072,
16.5039,um,Spot,Image 1,1,53073,
14.06,um,Spot,Image 1,1,53075,
15.9105,um,Spot,Image 1,1,53078,
10.4192,um,Spot,Image 1,1,53079,
15.2316,um,Spot,Image 1,1,53080,
10.7,um,Spot,Image 1,1,53081,
11.9804,um,Spot,Image 1,1,53082,
11.3858,um,Spot,Image 1,1,53083,
12.62,um,Spot,Image 1,1,53084,
13.58,um,Spot,Image 1,1,53085,
15.5,um,Spot,Image 1,1,53086,
13.5267,um,Spot,Image 1,1,53087,
14.06,um,Spot,Image 1,1,53088,
16.5941,um,Spot,Image 1,1,53090,
4.04324,um,Spot,Image 1,1,53091,
11.9976,um,Spot,Image 1,1,53092,
4.49229,um,Spot,Image 1,1,53094,
3.74168,um,Spot,Image 1,1,53095,
0,um,Spot,Image 1,1,53096,
10.7056,um,Spot,Image 1,1,53097,
0,um,Spot,Image 1,1,53098,
11.0036,um,Spot,Image 1,1,53099,
16.2774,um,Spot,Image 1,1,53100,
6.89336,um,Spot,Image 1,1,53101,
3.98,um,Spot,Image 1,1,53102,
3.02,um,Spot,Image 1,1,53103,
0,um,Spot,Image 1,1,53104,
0,um,Spot,Image 1,1,53105,
5.26225,um,Spot,Image 1,1,53106,
0,um,Spot,Image 1,1,53107,
0.14,um,Spot,Image 1,1,53108,
0,um,Spot,Image 1,1,53109,
13.1,um,Spot,Image 1,1,53110,
3.98,um,Spot,Image 1,1,53111,
3.5,um,Spot,Image 1,1,53112,
5.63206,um,Spot,Image 1,1,53113,
15.0821,um,Spot,Image 1,1,53115,
13.9293,um,Spot,Image 1,1,53116,
12.7241,um,Spot,Image 1,1,53118,
8.3,um,Spot,Image 1,1,53119,
4.99141,um,Spot,Image 1,1,53120,
1.44423,um,Spot,Image 1,1,53121,
0,um,Spot,Image 1,1,53122,
0,um,Spot,Image 1,1,53123,
0,um,Spot,Image 1,1,53124,
0.62,um,Spot,Image 1,1,53125,
3.77589,um,Spot,Image 1,1,53126,
8.07988,um,Spot,Image 1,1,53127,
3.19281,um,Spot,Image 1,1,53128,
6.70685,um,Spot,Image 1,1,53129,
4.67386,um,Spot,Image 1,1,53130,
8.52707,um,Spot,Image 1,1,53131,
7.36597,um,Spot,Image 1,1,53132,
6.79497,um,Spot,Image 1,1,53133,
12.9216,um,Spot,Image 1,1,53134,
12.3879,um,Spot,Image 1,1,53135,
9.26801,um,Spot,Image 1,1,53136,
11.0911,um,Spot,Image 1,1,53137,
3.10432,um,Spot,Image 1,1,53138,
3.02,um,Spot,Image 1,1,53140,
6.59537,um,Spot,Image 1,1,53141,
1.66798,um,Spot,Image 1,1,53142,
13.1063,um,Spot,Image 1,1,53143,
8.02864,um,Spot,Image 1,1,53144,
10.2235,um,Spot,Image 1,1,53145,
15.373,um,Spot,Image 1,1,53146,
16.4978,um,Spot,Image 1,1,53147,
15.9345,um,Spot,Image 1,1,53148,
8.52058,um,Spot,Image 1,1,53149,
16.8773,um,Spot,Image 1,1,53150,
16.46,um,Spot,Image 1,1,53152,
11.18,um,Spot,Image 1,1,53154,
14.0133,um,Spot,Image 1,1,53155,
0.405167,um,Spot,Image 1,1,53157,
10.7,um,Spot,Image 1,1,53159,
11.18,um,Spot,Image 1,1,53160,
2.54,um,Spot,Image 1,1,53163,
8.3,um,Spot,Image 1,1,53164,
15.5,um,Spot,Image 1,1,53165,
15.02,um,Spot,Image 1,1,53166,
11.66,um,Spot,Image 1,1,53167,
11.1794,um,Spot,Image 1,1,53168,
9.74,um,Spot,Image 1,1,53169,
12.62,um,Spot,Image 1,1,53170,
15.8707,um,Spot,Image 1,1,53171,
10.7,um,Spot,Image 1,1,53172,
1.58,um,Spot,Image 1,1,53173,
9.26,um,Spot,Image 1,1,53174,
11.18,um,Spot,Image 1,1,53175,
5.635,um,Spot,Image 1,1,53176,
12.3906,um,Spot,Image 1,1,53177,
11.18,um,Spot,Image 1,1,53179,
10.2896,um,Spot,Image 1,1,53180,
8.65561,um,Spot,Image 1,1,53181,
10.4372,um,Spot,Image 1,1,53182,
9.51617,um,Spot,Image 1,1,53183,
13.193,um,Spot,Image 1,1,53184,
10.4714,um,Spot,Image 1,1,53185,
8.23589,um,Spot,Image 1,1,53186,
11.18,um,Spot,Image 1,1,53187,
16.2374,um,Spot,Image 1,1,53188,
11.9461,um,Spot,Image 1,1,53189,
15.1843,um,Spot,Image 1,1,53190,
15.3819,um,Spot,Image 1,1,53191,
7.82,um,Spot,Image 1,1,53192,
6.78137,um,Spot,Image 1,1,53193,
4.02705,um,Spot,Image 1,1,53194,
11.18,um,Spot,Image 1,1,53195,
6.38,um,Spot,Image 1,1,53196,
13.1,um,Spot,Image 1,1,53197,
5.52301,um,Spot,Image 1,1,53198,
7.61996,um,Spot,Image 1,1,53199,
8.9861,um,Spot,Image 1,1,53200,
4.46,um,Spot,Image 1,1,53201,
16.8509,um,Spot,Image 1,1,53203,
15.5,um,Spot,Image 1,1,53204,
2.27135,um,Spot,Image 1,1,53205,
6.45461,um,Spot,Image 1,1,53206,
2.69803,um,Spot,Image 1,1,53207,
9.32025,um,Spot,Image 1,1,53208,
11.66,um,Spot,Image 1,1,53209,
13.1,um,Spot,Image 1,1,53210,
10.22,um,Spot,Image 1,1,53211,
11.66,um,Spot,Image 1,1,53212,
15.02,um,Spot,Image 1,1,53213,
15.9856,um,Spot,Image 1,1,53214,
16.2402,um,Spot,Image 1,1,53215,
11.18,um,Spot,Image 1,1,53216,
11.18,um,Spot,Image 1,1,53217,
12.14,um,Spot,Image 1,1,53218,
14.3308,um,Spot,Image 1,1,53219,
4.7119,um,Spot,Image 1,1,53220,
9.02754,um,Spot,Image 1,1,53221,
10.2777,um,Spot,Image 1,1,53222,
3.98,um,Spot,Image 1,1,53225,
10.22,um,Spot,Image 1,1,53226,
7.42597,um,Spot,Image 1,1,53227,
8.78,um,Spot,Image 1,1,53228,
10.7,um,Spot,Image 1,1,53229,
15.98,um,Spot,Image 1,1,53230,
14.171,um,Spot,Image 1,1,53231,
3.98,um,Spot,Image 1,1,53232,
9.08863,um,Spot,Image 1,1,53233,
9.09933,um,Spot,Image 1,1,53234,
12.5181,um,Spot,Image 1,1,53235,
0,um,Spot,Image 1,2,53236,
4.32698,um,Spot,Image 1,2,53237,
0,um,Spot,Image 1,2,53238,
0,um,Spot,Image 1,2,53239,
0.875447,um,Spot,Image 1,2,53240,
0,um,Spot,Image 1,2,53241,
0,um,Spot,Image 1,2,53242,
0.766736,um,Spot,Image 1,2,53243,
2.18757,um,Spot,Image 1,2,53244,
0,um,Spot,Image 1,2,53245,
0,um,Spot,Image 1,2,53246,
0,um,Spot,Image 1,2,53247,
1.62562,um,Spot,Image 1,2,53248,
2.14965,um,Spot,Image 1,2,53249,
3.50099,um,Spot,Image 1,2,53250,
3.91186,um,Spot,Image 1,2,53251,
4.72547,um,Spot,Image 1,2,53252,
0,um,Spot,Image 1,2,53253,
0,um,Spot,Image 1,2,53254,
0,um,Spot,Image 1,2,53255,
0,um,Spot,Image 1,2,53256,
0,um,Spot,Image 1,2,53257,
0,um,Spot,Image 1,2,53258,
0,um,Spot,Image 1,2,53259,
1.20626,um,Spot,Image 1,2,53260,
1.56551,um,Spot,Image 1,2,53261,
2.1891,um,Spot,Image 1,2,53262,
1.95598,um,Spot,Image 1,2,53263,
3.06482,um,Spot,Image 1,2,53264,
0,um,Spot,Image 1,2,53265,
0,um,Spot,Image 1,2,53266,
0,um,Spot,Image 1,2,53267,
0,um,Spot,Image 1,2,53268,
0,um,Spot,Image 1,2,53269,
0.606746,um,Spot,Image 1,2,53270,
2.03062,um,Spot,Image 1,2,53271,
3.12573,um,Spot,Image 1,2,53272,
3.90982,um,Spot,Image 1,2,53273,
4.15787,um,Spot,Image 1,2,53274,
5.0953,um,Spot,Image 1,2,53275,
0,um,Spot,Image 1,2,53276,
0,um,Spot,Image 1,2,53277,
0,um,Spot,Image 1,2,53278,
0,um,Spot,Image 1,2,53279,
0,um,Spot,Image 1,2,53280,
0,um,Spot,Image 1,2,53281,
0.755606,um,Spot,Image 1,2,53282,
2.48551,um,Spot,Image 1,2,53283,
4.4149,um,Spot,Image 1,2,53284,
4.30441,um,Spot,Image 1,2,53285,
5.02047,um,Spot,Image 1,2,53286,
0,um,Spot,Image 1,2,53287,
0,um,Spot,Image 1,2,53288,
0,um,Spot,Image 1,2,53289,
0,um,Spot,Image 1,2,53290,
4.73671,um,Spot,Image 1,2,53291,
0,um,Spot,Image 1,2,53292,
0,um,Spot,Image 1,2,53293,
0,um,Spot,Image 1,2,53294,
0,um,Spot,Image 1,2,53295,
0,um,Spot,Image 1,2,53296,
0,um,Spot,Image 1,2,53297,
0.535073,um,Spot,Image 1,2,53298,
2.48912,um,Spot,Image 1,2,53299,
4.16301,um,Spot,Image 1,2,53300,
5.01666,um,Spot,Image 1,2,53301,
0,um,Spot,Image 1,2,53302,
0,um,Spot,Image 1,2,53303,
0,um,Spot,Image 1,2,53304,
0,um,Spot,Image 1,2,53305,
0.458094,um,Spot,Image 1,2,53306,
3.5401,um,Spot,Image 1,2,53307,
3.30466,um,Spot,Image 1,2,53308,
4.30909,um,Spot,Image 1,2,53309,
5.08434,um,Spot,Image 1,2,53310,
0,um,Spot,Image 1,2,53311,
0,um,Spot,Image 1,2,53312,
0,um,Spot,Image 1,2,53313,
0,um,Spot,Image 1,2,53314,
0,um,Spot,Image 1,2,53315,
0,um,Spot,Image 1,2,53316,
0,um,Spot,Image 1,2,53317,
0,um,Spot,Image 1,2,53318,
2.11395,um,Spot,Image 1,2,53319,
2.5962,um,Spot,Image 1,2,53320,
4.11118,um,Spot,Image 1,2,53321,
4.15543,um,Spot,Image 1,2,53322,
4.35816,um,Spot,Image 1,2,53323,
4.93398,um,Spot,Image 1,2,53324,
8.93806,um,Spot,Image 1,2,53325,
9.10398,um,Spot,Image 1,2,53326,
10.2211,um,Spot,Image 1,2,53327,
6.65176,um,Spot,Image 1,2,53328,
12.8406,um,Spot,Image 1,2,53329,
6.40473,um,Spot,Image 1,2,53330,
6.36575,um,Spot,Image 1,2,53331,
8.27794,um,Spot,Image 1,2,53332,
6.17786,um,Spot,Image 1,2,53333,
6.36873,um,Spot,Image 1,2,53334,
7.99398,um,Spot,Image 1,2,53335,
8.42029,um,Spot,Image 1,2,53336,
8.49463,um,Spot,Image 1,2,53337,
9.21982,um,Spot,Image 1,2,53338,
9.87991,um,Spot,Image 1,2,53339,
11.1582,um,Spot,Image 1,2,53340,
11.1869,um,Spot,Image 1,2,53341,
10.9802,um,Spot,Image 1,2,53342,
11.0781,um,Spot,Image 1,2,53343,
11.8314,um,Spot,Image 1,2,53344,
12.6293,um,Spot,Image 1,2,53345,
5.65333,um,Spot,Image 1,2,53346,
5.47348,um,Spot,Image 1,2,53347,
8.67935,um,Spot,Image 1,2,53348,
8.67332,um,Spot,Image 1,2,53349,
10.067,um,Spot,Image 1,2,53350,
10.5939,um,Spot,Image 1,2,53351,
11.7292,um,Spot,Image 1,2,53352,
5.671,um,Spot,Image 1,2,53353,
6.55459,um,Spot,Image 1,2,53354,
7.05527,um,Spot,Image 1,2,53355,
8.95174,um,Spot,Image 1,2,53356,
10.2298,um,Spot,Image 1,2,53357,
11.0465,um,Spot,Image 1,2,53358,
11.7352,um,Spot,Image 1,2,53359,
12.1318,um,Spot,Image 1,2,53360,
12.8436,um,Spot,Image 1,2,53361,
8.65599,um,Spot,Image 1,2,53362,
6.37307,um,Spot,Image 1,2,53363,
7.26361,um,Spot,Image 1,2,53364,
7.54696,um,Spot,Image 1,2,53365,
7.8216,um,Spot,Image 1,2,53366,
8.43062,um,Spot,Image 1,2,53367,
9.69122,um,Spot,Image 1,2,53368,
12.609,um,Spot,Image 1,2,53369,
8.21437,um,Spot,Image 1,2,53370,
8.8219,um,Spot,Image 1,2,53371,
9.42443,um,Spot,Image 1,2,53372,
9.35651,um,Spot,Image 1,2,53373,
9.51351,um,Spot,Image 1,2,53374,
11.4985,um,Spot,Image 1,2,53375,
5.26363,um,Spot,Image 1,2,53376,
6.63567,um,Spot,Image 1,2,53377,
7.17472,um,Spot,Image 1,2,53378,
9.79488,um,Spot,Image 1,2,53379,
10.456,um,Spot,Image 1,2,53380,
10.1247,um,Spot,Image 1,2,53381,
12.1108,um,Spot,Image 1,2,53382,
6.73308,um,Spot,Image 1,2,53383,
15.0459,um,Spot,Image 1,2,53384,
15.8129,um,Spot,Image 1,2,53385,
13.4848,um,Spot,Image 1,2,53386,
16.6423,um,Spot,Image 1,2,53387,
16.9111,um,Spot,Image 1,2,53388,
14.8779,um,Spot,Image 1,2,53389,
15.4324,um,Spot,Image 1,2,53390,
14.0277,um,Spot,Image 1,2,53391,
15.0866,um,Spot,Image 1,2,53392,
15.0899,um,Spot,Image 1,2,53393,
15.6935,um,Spot,Image 1,2,53394,
16.3669,um,Spot,Image 1,2,53395,
16.8146,um,Spot,Image 1,2,53396,
16.0891,um,Spot,Image 1,2,53397,
14.3344,um,Spot,Image 1,2,53398,
13.4224,um,Spot,Image 1,2,53399,
13.1097,um,Spot,Image 1,2,53400,
13.6097,um,Spot,Image 1,2,53401,
15.9669,um,Spot,Image 1,2,53402,
16.2263,um,Spot,Image 1,2,53403,
16.4391,um,Spot,Image 1,2,53404,
16.211,um,Spot,Image 1,2,53405,
14.9544,um,Spot,Image 1,2,53406,
14.6461,um,Spot,Image 1,2,53407,
14.1715,um,Spot,Image 1,2,53408,
14.1757,um,Spot,Image 1,2,53409,
15.8244,um,Spot,Image 1,2,53410,
16.8515,um,Spot,Image 1,2,53411,
16.3166,um,Spot,Image 1,2,53412,
15.1007,um,Spot,Image 1,2,53413,
16.5002,um,Spot,Image 1,2,53414,
13.2386,um,Spot,Image 1,2,53415,
13.5275,um,Spot,Image 1,2,53416,
16.0297,um,Spot,Image 1,2,53417,
16.0558,um,Spot,Image 1,2,53418,
14.7603,um,Spot,Image 1,2,53419,
13.9552,um,Spot,Image 1,2,53420,
15.6828,um,Spot,Image 1,2,53421,
15.639,um,Spot,Image 1,2,53422,
15.3668,um,Spot,Image 1,2,53423,
14.8683,um,Spot,Image 1,2,53424,
14.2721,um,Spot,Image 1,2,53425,
14.1813,um,Spot,Image 1,2,53426,
14.5257,um,Spot,Image 1,2,53427,
14.3569,um,Spot,Image 1,2,53428,
15.1846,um,Spot,Image 1,2,53429,
14.9726,um,Spot,Image 1,2,53430,
16.345,um,Spot,Image 1,2,53431,
16.044,um,Spot,Image 1,2,53432,
14.0068,um,Spot,Image 1,2,53433,
13.8785,um,Spot,Image 1,2,53434,
8.22951,um,Spot,Image 1,2,53435,
7.71055,um,Spot,Image 1,2,53436,
6.52834,um,Spot,Image 1,2,53437,
11.7971,um,Spot,Image 1,2,53438,
7.24832,um,Spot,Image 1,2,53439,
12.9645,um,Spot,Image 1,2,53440,
11.6081,um,Spot,Image 1,2,53441,
9.74948,um,Spot,Image 1,2,53442,
9.44219,um,Spot,Image 1,2,53443,
6.97373,um,Spot,Image 1,2,53444,
11.6434,um,Spot,Image 1,2,53445,
11.2615,um,Spot,Image 1,2,53446,
11.0558,um,Spot,Image 1,2,53447,
11.3518,um,Spot,Image 1,2,53448,
8.5957,um,Spot,Image 1,2,53449,
8.25191,um,Spot,Image 1,2,53450,
6.49266,um,Spot,Image 1,2,53451,
6.39874,um,Spot,Image 1,2,53452,
6.12622,um,Spot,Image 1,2,53453,
13.2051,um,Spot,Image 1,2,53454,
11.6942,um,Spot,Image 1,2,53455,
10.6991,um,Spot,Image 1,2,53456,
10.8502,um,Spot,Image 1,2,53457,
10.2603,um,Spot,Image 1,2,53458,
9.83224,um,Spot,Image 1,2,53459,
9.18312,um,Spot,Image 1,2,53460,
9.28857,um,Spot,Image 1,2,53461,
6.25236,um,Spot,Image 1,2,53462,
13.1429,um,Spot,Image 1,2,53463,
12.5244,um,Spot,Image 1,2,53464,
10.4014,um,Spot,Image 1,2,53465,
10.107,um,Spot,Image 1,2,53466,
9.7504,um,Spot,Image 1,2,53467,
8.27914,um,Spot,Image 1,2,53468,
13.1654,um,Spot,Image 1,2,53469,
12.857,um,Spot,Image 1,2,53470,
11.6796,um,Spot,Image 1,2,53471,
10.1054,um,Spot,Image 1,2,53472,
13.1885,um,Spot,Image 1,2,53473,
12.9609,um,Spot,Image 1,2,53474,
13.0125,um,Spot,Image 1,2,53475,
13.1543,um,Spot,Image 1,2,53476,
12.4659,um,Spot,Image 1,2,53477,
6.54118,um,Spot,Image 1,2,53478,
