
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
2863,,Spot,2,Image 1,1,53233,
2385,,Spot,2,Image 1,1,53234,
2062,,Spot,2,Image 1,1,53235,
1010,,Spot,2,Image 1,2,53236,
2375,,Spot,2,Image 1,2,53237,
4276,,Spot,2,Image 1,2,53238,
2821,,Spot,2,Image 1,2,53239,
1972,,Spot,2,Image 1,2,53240,
1706,,Spot,2,Image 1,2,53241,
1741,,Spot,2,Image 1,2,53242,
1164,,Spot,2,Image 1,2,53243,
2905,,Spot,2,Image 1,2,53244,
1186,,Spot,2,Image 1,2,53245,
3166,,Spot,2,Image 1,2,53246,
3072,,Spot,2,Image 1,2,53247,
3796,,Spot,2,Image 1,2,53248,
3556,,Spot,2,Image 1,2,53249,
1224,,Spot,2,Image 1,2,53250,
2797,,Spot,2,Image 1,2,53251,
1756,,Spot,2,Image 1,2,53252,
3898,,Spot,2,Image 1,2,53253,
3696,,Spot,2,Image 1,2,53254,
2683,,Spot,2,Image 1,2,53255,
2091,,Spot,2,Image 1,2,53256,
3210,,Spot,2,Image 1,2,53257,
1786,,Spot,2,Image 1,2,53258,
1749,,Spot,2,Image 1,2,53259,
5491,,Spot,2,Image 1,2,53260,
2792,,Spot,2,Image 1,2,53261,
2487,,Spot,2,Image 1,2,53262,
1643,,Spot,2,Image 1,2,53263,
3445,,Spot,2,Image 1,2,53264,
2434,,Spot,2,Image 1,2,53265,
2791,,Spot,2,Image 1,2,53266,
1475,,Spot,2,Image 1,2,53267,
3713,,Spot,2,Image 1,2,53268,
1640,,Spot,2,Image 1,2,53269,
3226,,Spot,2,Image 1,2,53270,
3957,,Spot,2,Image 1,2,53271,
2357,,Spot,2,Image 1,2,53272,
1472,,Spot,2,Image 1,2,53273,
2136,,Spot,2,Image 1,2,53274,
1858,,Spot,2,Image 1,2,53275,
1471,,Spot,2,Image 1,2,53276,
5821,,Spot,2,Image 1,2,53277,
2081,,Spot,2,Image 1,2,53278,
1168,,Spot,2,Image 1,2,53279,
3638,,Spot,2,Image 1,2,53280,
5486,,Spot,2,Image 1,2,53281,
2986,,Spot,2,Image 1,2,53282,
4222,,Spot,2,Image 1,2,53283,
1751,,Spot,2,Image 1,2,53284,
593,,Spot,2,Image 1,2,53285,
1801,,Spot,2,Image 1,2,53286,
2781,,Spot,2,Image 1,2,53287,
1636,,Spot,2,Image 1,2,53288,
2593,,Spot,2,Image 1,2,53289,
911,,Spot,2,Image 1,2,53290,
1510,,Spot,2,Image 1,2,53291,
11502,,Spot,2,Image 1,2,53292,
2936,,Spot,2,Image 1,2,53293,
1827,,Spot,2,Image 1,2,53294,
