
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
4871,,Spot,6,Image 1,1,53024,
4668,,Spot,6,Image 1,1,53025,
5919,,Spot,6,Image 1,1,53027,
6579,,Spot,6,Image 1,1,53028,
7095,,Spot,6,Image 1,1,53029,
5389,,Spot,6,Image 1,1,53030,
6528,,Spot,6,Image 1,1,53031,
5700,,Spot,6,Image 1,1,53032,
6038,,Spot,6,Image 1,1,53033,
4143,,Spot,6,Image 1,1,53034,
4563,,Spot,6,Image 1,1,53035,
7481,,Spot,6,Image 1,1,53036,
6652,,Spot,6,Image 1,1,53037,
6852,,Spot,6,Image 1,1,53038,
6215,,Spot,6,Image 1,1,53039,
7364,,Spot,6,Image 1,1,53040,
5856,,Spot,6,Image 1,1,53041,
5927,,Spot,6,Image 1,1,53042,
6486,,Spot,6,Image 1,1,53043,
5842,,Spot,6,Image 1,1,53044,
5700,,Spot,6,Image 1,1,53045,
5676,,Spot,6,Image 1,1,53046,
5238,,Spot,6,Image 1,1,53048,
5315,,Spot,6,Image 1,1,53049,
3981,,Spot,6,Image 1,1,53050,
5357,,Spot,6,Image 1,1,53052,
4121,,Spot,6,Image 1,1,53053,
5225,,Spot,6,Image 1,1,53055,
6084,,Spot,6,Image 1,1,53056,
6235,,Spot,6,Image 1,1,53057,
4074,,Spot,6,Image 1,1,53058,
5399,,Spot,6,Image 1,1,53059,
4955,,Spot,6,Image 1,1,53060,
5364,,Spot,6,Image 1,1,53061,
4530,,Spot,6,Image 1,1,53062,
5453,,Spot,6,Image 1,1,53063,
5284,,Spot,6,Image 1,1,53065,
4298,,Spot,6,Image 1,1,53066,
5005,,Spot,6,Image 1,1,53067,
4078,,Spot,6,Image 1,1,53068,
3847,,Spot,6,Image 1,1,53069,
3741,,Spot,6,Image 1,1,53071,
3547,,Spot,6,Image 1,1,53072,
6438,,Spot,6,Image 1,1,53073,
8181,,Spot,6,Image 1,1,53075,
5393,,Spot,6,Image 1,1,53078,
6567,,Spot,6,Image 1,1,53079,
5710,,Spot,6,Image 1,1,53080,
4914,,Spot,6,Image 1,1,53081,
6677,,Spot,6,Image 1,1,53082,
6694,,Spot,6,Image 1,1,53083,
7939,,Spot,6,Image 1,1,53084,
6146,,Spot,6,Image 1,1,53085,
6647,,Spot,6,Image 1,1,53086,
7174,,Spot,6,Image 1,1,53087,
4999,,Spot,6,Image 1,1,53088,
5705,,Spot,6,Image 1,1,53090,
5153,,Spot,6,Image 1,1,53091,
5240,,Spot,6,Image 1,1,53092,
5472,,Spot,6,Image 1,1,53094,
3815,,Spot,6,Image 1,1,53095,
4644,,Spot,6,Image 1,1,53096,
5409,,Spot,6,Image 1,1,53097,
5102,,Spot,6,Image 1,1,53098,
5996,,Spot,6,Image 1,1,53099,
4992,,Spot,6,Image 1,1,53100,
6379,,Spot,6,Image 1,1,53101,
5526,,Spot,6,Image 1,1,53102,
6836,,Spot,6,Image 1,1,53103,
5346,,Spot,6,Image 1,1,53104,
5671,,Spot,6,Image 1,1,53105,
5955,,Spot,6,Image 1,1,53106,
4905,,Spot,6,Image 1,1,53107,
5922,,Spot,6,Image 1,1,53108,
6171,,Spot,6,Image 1,1,53109,
6561,,Spot,6,Image 1,1,53110,
5669,,Spot,6,Image 1,1,53111,
6321,,Spot,6,Image 1,1,53112,
6648,,Spot,6,Image 1,1,53113,
5372,,Spot,6,Image 1,1,53115,
5590,,Spot,6,Image 1,1,53116,
5006,,Spot,6,Image 1,1,53118,
4793,,Spot,6,Image 1,1,53119,
4193,,Spot,6,Image 1,1,53120,
4209,,Spot,6,Image 1,1,53121,
4596,,Spot,6,Image 1,1,53122,
3832,,Spot,6,Image 1,1,53123,
4421,,Spot,6,Image 1,1,53124,
4600,,Spot,6,Image 1,1,53125,
4637,,Spot,6,Image 1,1,53126,
4121,,Spot,6,Image 1,1,53127,
4559,,Spot,6,Image 1,1,53128,
4095,,Spot,6,Image 1,1,53129,
4999,,Spot,6,Image 1,1,53130,
6756,,Spot,6,Image 1,1,53131,
5359,,Spot,6,Image 1,1,53132,
5528,,Spot,6,Image 1,1,53133,
5566,,Spot,6,Image 1,1,53134,
6932,,Spot,6,Image 1,1,53135,
5187,,Spot,6,Image 1,1,53136,
5938,,Spot,6,Image 1,1,53137,
