
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,4,Image 1,1,53212,
0,,Spot,4,Image 1,1,53213,
0,,Spot,4,Image 1,1,53214,
0,,Spot,4,Image 1,1,53215,
0,,Spot,4,Image 1,1,53216,
0,,Spot,4,Image 1,1,53217,
0,,Spot,4,Image 1,1,53218,
0,,Spot,4,Image 1,1,53219,
0,,Spot,4,Image 1,1,53220,
0,,Spot,4,Image 1,1,53221,
0,,Spot,4,Image 1,1,53222,
0,,Spot,4,Image 1,1,53225,
0,,Spot,4,Image 1,1,53226,
0,,Spot,4,Image 1,1,53227,
0,,Spot,4,Image 1,1,53228,
0,,Spot,4,Image 1,1,53229,
0,,Spot,4,Image 1,1,53230,
0,,Spot,4,Image 1,1,53231,
0,,Spot,4,Image 1,1,53232,
0,,Spot,4,Image 1,1,53233,
0,,Spot,4,Image 1,1,53234,
0,,Spot,4,Image 1,1,53235,
0,,Spot,4,Image 1,2,53236,
0,,Spot,4,Image 1,2,53237,
0,,Spot,4,Image 1,2,53238,
0,,Spot,4,Image 1,2,53239,
0,,Spot,4,Image 1,2,53240,
0,,Spot,4,Image 1,2,53241,
0,,Spot,4,Image 1,2,53242,
0,,Spot,4,Image 1,2,53243,
0,,Spot,4,Image 1,2,53244,
0,,Spot,4,Image 1,2,53245,
0,,Spot,4,Image 1,2,53246,
0,,Spot,4,Image 1,2,53247,
0,,Spot,4,Image 1,2,53248,
0,,Spot,4,Image 1,2,53249,
0,,Spot,4,Image 1,2,53250,
0,,Spot,4,Image 1,2,53251,
0,,Spot,4,Image 1,2,53252,
0,,Spot,4,Image 1,2,53253,
0,,Spot,4,Image 1,2,53254,
0,,Spot,4,Image 1,2,53255,
0,,Spot,4,Image 1,2,53256,
0,,Spot,4,Image 1,2,53257,
0,,Spot,4,Image 1,2,53258,
0,,Spot,4,Image 1,2,53259,
0,,Spot,4,Image 1,2,53260,
0,,Spot,4,Image 1,2,53261,
0,,Spot,4,Image 1,2,53262,
0,,Spot,4,Image 1,2,53263,
0,,Spot,4,Image 1,2,53264,
0,,Spot,4,Image 1,2,53265,
0,,Spot,4,Image 1,2,53266,
0,,Spot,4,Image 1,2,53267,
0,,Spot,4,Image 1,2,53268,
0,,Spot,4,Image 1,2,53269,
0,,Spot,4,Image 1,2,53270,
0,,Spot,4,Image 1,2,53271,
0,,Spot,4,Image 1,2,53272,
