
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2742,,Spot,Image 1,1,53159,
2752,,Spot,Image 1,1,53160,
2741,,Spot,Image 1,1,53163,
2734,,Spot,Image 1,1,53164,
2738,,Spot,Image 1,1,53165,
2744,,Spot,Image 1,1,53166,
2744,,Spot,Image 1,1,53167,
2751,,Spot,Image 1,1,53168,
2744,,Spot,Image 1,1,53169,
2738,,Spot,Image 1,1,53170,
2742,,Spot,Image 1,1,53171,
2747,,Spot,Image 1,1,53172,
2739,,Spot,Image 1,1,53173,
2743,,Spot,Image 1,1,53174,
2748,,Spot,Image 1,1,53175,
2766,,Spot,Image 1,1,53176,
2769,,Spot,Image 1,1,53177,
2746,,Spot,Image 1,1,53179,
2739,,Spot,Image 1,1,53180,
2742,,Spot,Image 1,1,53181,
2762,,Spot,Image 1,1,53182,
2763,,Spot,Image 1,1,53183,
2737,,Spot,Image 1,1,53184,
2734,,Spot,Image 1,1,53185,
2735,,Spot,Image 1,1,53186,
2743,,Spot,Image 1,1,53187,
2762,,Spot,Image 1,1,53188,
2754,,Spot,Image 1,1,53189,
2737,,Spot,Image 1,1,53190,
2746,,Spot,Image 1,1,53191,
2740,,Spot,Image 1,1,53192,
2730,,Spot,Image 1,1,53193,
2754,,Spot,Image 1,1,53194,
2757,,Spot,Image 1,1,53195,
2741,,Spot,Image 1,1,53196,
2760,,Spot,Image 1,1,53197,
2748,,Spot,Image 1,1,53198,
2757,,Spot,Image 1,1,53199,
2762,,Spot,Image 1,1,53200,
2743,,Spot,Image 1,1,53201,
2742,,Spot,Image 1,1,53203,
2760,,Spot,Image 1,1,53204,
2743,,Spot,Image 1,1,53205,
2739,,Spot,Image 1,1,53206,
2754,,Spot,Image 1,1,53207,
2762,,Spot,Image 1,1,53208,
2747,,Spot,Image 1,1,53209,
2748,,Spot,Image 1,1,53210,
2756,,Spot,Image 1,1,53211,
2749,,Spot,Image 1,1,53212,
2749,,Spot,Image 1,1,53213,
2744,,Spot,Image 1,1,53214,
2749,,Spot,Image 1,1,53215,
2760,,Spot,Image 1,1,53216,
2737,,Spot,Image 1,1,53217,
2740,,Spot,Image 1,1,53218,
2762,,Spot,Image 1,1,53219,
2755,,Spot,Image 1,1,53220,
2771,,Spot,Image 1,1,53221,
2749,,Spot,Image 1,1,53222,
2742,,Spot,Image 1,1,53225,
2746,,Spot,Image 1,1,53226,
2747,,Spot,Image 1,1,53227,
2760,,Spot,Image 1,1,53228,
2754,,Spot,Image 1,1,53229,
2753,,Spot,Image 1,1,53230,
2739,,Spot,Image 1,1,53231,
2734,,Spot,Image 1,1,53232,
2742,,Spot,Image 1,1,53233,
2735,,Spot,Image 1,1,53234,
2734,,Spot,Image 1,1,53235,
1569,,Spot,Image 1,2,53236,
2744,,Spot,Image 1,2,53237,
