
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2886.71,,Spot,2,Image 1,1,512,
2931.08,,Spot,2,Image 1,1,514,
2885.22,,Spot,2,Image 1,1,517,
3033.23,,Spot,2,Image 1,1,518,
1760.21,,Spot,2,Image 1,1,519,
2667.48,,Spot,2,Image 1,1,520,
2718.55,,Spot,2,Image 1,1,521,
2794.27,,Spot,2,Image 1,1,522,
2981.09,,Spot,2,Image 1,1,523,
2628.87,,Spot,2,Image 1,1,524,
3124.65,,Spot,2,Image 1,1,525,
3256.76,,Spot,2,Image 1,1,526,
3536.8,,Spot,2,Image 1,1,527,
1771.46,,Spot,2,Image 1,1,528,
1615.98,,Spot,2,Image 1,1,529,
4131.18,,Spot,2,Image 1,1,530,
2220.65,,Spot,2,Image 1,1,531,
2931.42,,Spot,2,Image 1,1,547,
3201.9,,Spot,2,Image 1,1,550,
3222.95,,Spot,2,Image 1,1,551,
1348.81,,Spot,2,Image 1,1,552,
1740.59,,Spot,2,Image 1,1,554,
2701.69,,Spot,2,Image 1,1,557,
1670.14,,Spot,2,Image 1,1,558,
3209.71,,Spot,2,Image 1,1,559,
2657.77,,Spot,2,Image 1,1,560,
2658.14,,Spot,2,Image 1,1,603,
2755.91,,Spot,2,Image 1,1,53019,
2733.62,,Spot,2,Image 1,1,53020,
2715.26,,Spot,2,Image 1,1,53022,
2103.71,,Spot,2,Image 1,1,53023,
1954.07,,Spot,2,Image 1,1,53024,
1947.09,,Spot,2,Image 1,1,53025,
2344.86,,Spot,2,Image 1,1,53027,
2599.51,,Spot,2,Image 1,1,53028,
2579.84,,Spot,2,Image 1,1,53029,
2318.09,,Spot,2,Image 1,1,53030,
2606.27,,Spot,2,Image 1,1,53031,
2421.45,,Spot,2,Image 1,1,53032,
2185.41,,Spot,2,Image 1,1,53033,
1610.7,,Spot,2,Image 1,1,53034,
1806.43,,Spot,2,Image 1,1,53035,
3032.7,,Spot,2,Image 1,1,53036,
2910.26,,Spot,2,Image 1,1,53037,
2619.14,,Spot,2,Image 1,1,53038,
2743.27,,Spot,2,Image 1,1,53039,
2895.9,,Spot,2,Image 1,1,53040,
2377.25,,Spot,2,Image 1,1,53041,
2629.72,,Spot,2,Image 1,1,53042,
2697.61,,Spot,2,Image 1,1,53043,
2417.24,,Spot,2,Image 1,1,53044,
2434.66,,Spot,2,Image 1,1,53045,
2273.77,,Spot,2,Image 1,1,53046,
2539.44,,Spot,2,Image 1,1,53048,
2257.08,,Spot,2,Image 1,1,53049,
1397.11,,Spot,2,Image 1,1,53050,
2245.65,,Spot,2,Image 1,1,53052,
1467.35,,Spot,2,Image 1,1,53053,
1507.39,,Spot,2,Image 1,1,53055,
2609.99,,Spot,2,Image 1,1,53056,
2554.66,,Spot,2,Image 1,1,53057,
1541.26,,Spot,2,Image 1,1,53058,
1690.99,,Spot,2,Image 1,1,53059,
1326.36,,Spot,2,Image 1,1,53060,
1997.95,,Spot,2,Image 1,1,53061,
1648.04,,Spot,2,Image 1,1,53062,
2561.01,,Spot,2,Image 1,1,53063,
2313.37,,Spot,2,Image 1,1,53065,
1810.11,,Spot,2,Image 1,1,53066,
1911.48,,Spot,2,Image 1,1,53067,
1440.4,,Spot,2,Image 1,1,53068,
1417.46,,Spot,2,Image 1,1,53069,
1308.8,,Spot,2,Image 1,1,53071,
1246.62,,Spot,2,Image 1,1,53072,
2669.06,,Spot,2,Image 1,1,53073,
3798.98,,Spot,2,Image 1,1,53075,
2303.73,,Spot,2,Image 1,1,53078,
2413.03,,Spot,2,Image 1,1,53079,
2640.92,,Spot,2,Image 1,1,53080,
2124.54,,Spot,2,Image 1,1,53081,
3465.95,,Spot,2,Image 1,1,53082,
3089.29,,Spot,2,Image 1,1,53083,
3592.91,,Spot,2,Image 1,1,53084,
2559.24,,Spot,2,Image 1,1,53085,
2926.74,,Spot,2,Image 1,1,53086,
2974.67,,Spot,2,Image 1,1,53087,
2072.36,,Spot,2,Image 1,1,53088,
2786.38,,Spot,2,Image 1,1,53090,
1862.63,,Spot,2,Image 1,1,53091,
1913.43,,Spot,2,Image 1,1,53092,
2644.75,,Spot,2,Image 1,1,53094,
1469.13,,Spot,2,Image 1,1,53095,
1884.25,,Spot,2,Image 1,1,53096,
2426.79,,Spot,2,Image 1,1,53097,
2221.89,,Spot,2,Image 1,1,53098,
2334.48,,Spot,2,Image 1,1,53099,
2288.27,,Spot,2,Image 1,1,53100,
2057.53,,Spot,2,Image 1,1,53101,
2269.5,,Spot,2,Image 1,1,53102,
2368.65,,Spot,2,Image 1,1,53103,
2225.56,,Spot,2,Image 1,1,53104,
2737.07,,Spot,2,Image 1,1,53105,
2371.92,,Spot,2,Image 1,1,53106,
2145.16,,Spot,2,Image 1,1,53107,
2799.57,,Spot,2,Image 1,1,53108,
2743.72,,Spot,2,Image 1,1,53109,
2797.46,,Spot,2,Image 1,1,53110,
2251.22,,Spot,2,Image 1,1,53111,
2856.64,,Spot,2,Image 1,1,53112,
3319.22,,Spot,2,Image 1,1,53113,
2017.91,,Spot,2,Image 1,1,53115,
2155.81,,Spot,2,Image 1,1,53116,
1743.84,,Spot,2,Image 1,1,53118,
2121.08,,Spot,2,Image 1,1,53119,
1582.52,,Spot,2,Image 1,1,53120,
1771.27,,Spot,2,Image 1,1,53121,
1513.8,,Spot,2,Image 1,1,53122,
1655.27,,Spot,2,Image 1,1,53123,
1251.17,,Spot,2,Image 1,1,53124,
1577.72,,Spot,2,Image 1,1,53125,
1733.69,,Spot,2,Image 1,1,53126,
1402.33,,Spot,2,Image 1,1,53127,
1960.2,,Spot,2,Image 1,1,53128,
1500.75,,Spot,2,Image 1,1,53129,
2052.58,,Spot,2,Image 1,1,53130,
3524.01,,Spot,2,Image 1,1,53131,
2573.33,,Spot,2,Image 1,1,53132,
2401.98,,Spot,2,Image 1,1,53133,
2781.32,,Spot,2,Image 1,1,53134,
2570.87,,Spot,2,Image 1,1,53135,
2361.71,,Spot,2,Image 1,1,53136,
2429.16,,Spot,2,Image 1,1,53137,
2196.68,,Spot,2,Image 1,1,53138,
2482.71,,Spot,2,Image 1,1,53140,
2650.53,,Spot,2,Image 1,1,53141,
2685.72,,Spot,2,Image 1,1,53142,
2672.97,,Spot,2,Image 1,1,53143,
1730.63,,Spot,2,Image 1,1,53144,
2663.72,,Spot,2,Image 1,1,53145,
2752.02,,Spot,2,Image 1,1,53146,
2726.19,,Spot,2,Image 1,1,53147,
1931.21,,Spot,2,Image 1,1,53148,
1868.8,,Spot,2,Image 1,1,53149,
2534.31,,Spot,2,Image 1,1,53150,
2869.69,,Spot,2,Image 1,1,53152,
2414.28,,Spot,2,Image 1,1,53154,
2816.48,,Spot,2,Image 1,1,53155,
2866.57,,Spot,2,Image 1,1,53157,
1626.09,,Spot,2,Image 1,1,53159,
3133.46,,Spot,2,Image 1,1,53160,
204.764,,Spot,2,Image 1,1,53163,
193.745,,Spot,2,Image 1,1,53164,
2620.48,,Spot,2,Image 1,1,53165,
231.063,,Spot,2,Image 1,1,53166,
467.933,,Spot,2,Image 1,1,53167,
1820.96,,Spot,2,Image 1,1,53168,
1958.97,,Spot,2,Image 1,1,53169,
1732.34,,Spot,2,Image 1,1,53170,
1574.52,,Spot,2,Image 1,1,53171,
219.963,,Spot,2,Image 1,1,53172,
250.098,,Spot,2,Image 1,1,53173,
213.657,,Spot,2,Image 1,1,53174,
234.924,,Spot,2,Image 1,1,53175,
2791.8,,Spot,2,Image 1,1,53176,
1666.6,,Spot,2,Image 1,1,53177,
1529.65,,Spot,2,Image 1,1,53179,
2458.97,,Spot,2,Image 1,1,53180,
2300.58,,Spot,2,Image 1,1,53181,
1458.98,,Spot,2,Image 1,1,53182,
2079.48,,Spot,2,Image 1,1,53183,
1831.14,,Spot,2,Image 1,1,53184,
1984.04,,Spot,2,Image 1,1,53185,
1849.2,,Spot,2,Image 1,1,53186,
1172.9,,Spot,2,Image 1,1,53187,
2136.57,,Spot,2,Image 1,1,53188,
366.225,,Spot,2,Image 1,1,53189,
2109.68,,Spot,2,Image 1,1,53190,
827.044,,Spot,2,Image 1,1,53191,
2689.81,,Spot,2,Image 1,1,53192,
2301.39,,Spot,2,Image 1,1,53193,
2564.23,,Spot,2,Image 1,1,53194,
287.649,,Spot,2,Image 1,1,53195,
216.149,,Spot,2,Image 1,1,53196,
235.968,,Spot,2,Image 1,1,53197,
2674.31,,Spot,2,Image 1,1,53198,
1653.69,,Spot,2,Image 1,1,53199,
1595.51,,Spot,2,Image 1,1,53200,
1528.89,,Spot,2,Image 1,1,53201,
230.805,,Spot,2,Image 1,1,53203,
348.574,,Spot,2,Image 1,1,53204,
1526.44,,Spot,2,Image 1,1,53205,
