
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
809.872,,Spot,2,Image 1,1,53133,
762.521,,Spot,2,Image 1,1,53134,
811.898,,Spot,2,Image 1,1,53135,
756.574,,Spot,2,Image 1,1,53136,
756.672,,Spot,2,Image 1,1,53137,
774.69,,Spot,2,Image 1,1,53138,
763.849,,Spot,2,Image 1,1,53140,
764.275,,Spot,2,Image 1,1,53141,
920.915,,Spot,2,Image 1,1,53142,
832.734,,Spot,2,Image 1,1,53143,
784.953,,Spot,2,Image 1,1,53144,
763.265,,Spot,2,Image 1,1,53145,
804.794,,Spot,2,Image 1,1,53146,
775.117,,Spot,2,Image 1,1,53147,
730.818,,Spot,2,Image 1,1,53148,
665.978,,Spot,2,Image 1,1,53149,
921.257,,Spot,2,Image 1,1,53150,
916.738,,Spot,2,Image 1,1,53152,
811.543,,Spot,2,Image 1,1,53154,
952.545,,Spot,2,Image 1,1,53155,
948.879,,Spot,2,Image 1,1,53157,
649.054,,Spot,2,Image 1,1,53159,
1041.04,,Spot,2,Image 1,1,53160,
230.231,,Spot,2,Image 1,1,53163,
217.747,,Spot,2,Image 1,1,53164,
858.625,,Spot,2,Image 1,1,53165,
228.279,,Spot,2,Image 1,1,53166,
571.774,,Spot,2,Image 1,1,53167,
714.155,,Spot,2,Image 1,1,53168,
734.35,,Spot,2,Image 1,1,53169,
748.875,,Spot,2,Image 1,1,53170,
748.27,,Spot,2,Image 1,1,53171,
257.935,,Spot,2,Image 1,1,53172,
250.815,,Spot,2,Image 1,1,53173,
253.393,,Spot,2,Image 1,1,53174,
260.831,,Spot,2,Image 1,1,53175,
751.783,,Spot,2,Image 1,1,53176,
650.902,,Spot,2,Image 1,1,53177,
632.985,,Spot,2,Image 1,1,53179,
919.865,,Spot,2,Image 1,1,53180,
930.914,,Spot,2,Image 1,1,53181,
724.714,,Spot,2,Image 1,1,53182,
816.113,,Spot,2,Image 1,1,53183,
681.879,,Spot,2,Image 1,1,53184,
779.844,,Spot,2,Image 1,1,53185,
1303.49,,Spot,2,Image 1,1,53186,
671.24,,Spot,2,Image 1,1,53187,
792.665,,Spot,2,Image 1,1,53188,
371.657,,Spot,2,Image 1,1,53189,
1083.27,,Spot,2,Image 1,1,53190,
956.11,,Spot,2,Image 1,1,53191,
922.073,,Spot,2,Image 1,1,53192,
1066.13,,Spot,2,Image 1,1,53193,
935.895,,Spot,2,Image 1,1,53194,
379.76,,Spot,2,Image 1,1,53195,
242.906,,Spot,2,Image 1,1,53196,
238.521,,Spot,2,Image 1,1,53197,
791.628,,Spot,2,Image 1,1,53198,
805.784,,Spot,2,Image 1,1,53199,
687.143,,Spot,2,Image 1,1,53200,
619.24,,Spot,2,Image 1,1,53201,
234.083,,Spot,2,Image 1,1,53203,
302.843,,Spot,2,Image 1,1,53204,
607.472,,Spot,2,Image 1,1,53205,
615.666,,Spot,2,Image 1,1,53206,
688.491,,Spot,2,Image 1,1,53207,
661.763,,Spot,2,Image 1,1,53208,
605.01,,Spot,2,Image 1,1,53209,
1125.24,,Spot,2,Image 1,1,53210,
498.358,,Spot,2,Image 1,1,53211,
222.148,,Spot,2,Image 1,1,53212,
282.66,,Spot,2,Image 1,1,53213,
260.293,,Spot,2,Image 1,1,53214,
335.366,,Spot,2,Image 1,1,53215,
407.352,,Spot,2,Image 1,1,53216,
855.381,,Spot,2,Image 1,1,53217,
699.446,,Spot,2,Image 1,1,53218,
741.634,,Spot,2,Image 1,1,53219,
573.55,,Spot,2,Image 1,1,53220,
757.701,,Spot,2,Image 1,1,53221,
689.477,,Spot,2,Image 1,1,53222,
684.581,,Spot,2,Image 1,1,53225,
656.361,,Spot,2,Image 1,1,53226,
641.596,,Spot,2,Image 1,1,53227,
716.898,,Spot,2,Image 1,1,53228,
