
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
680679,,Spot,4,Image 1,1,53033,
134785,,Spot,4,Image 1,1,53034,
434458,,Spot,4,Image 1,1,53035,
200485,,Spot,4,Image 1,1,53036,
235748,,Spot,4,Image 1,1,53037,
339080,,Spot,4,Image 1,1,53038,
388528,,Spot,4,Image 1,1,53039,
521804,,Spot,4,Image 1,1,53040,
510228,,Spot,4,Image 1,1,53041,
139234,,Spot,4,Image 1,1,53042,
264772,,Spot,4,Image 1,1,53043,
243180,,Spot,4,Image 1,1,53044,
63905,,Spot,4,Image 1,1,53045,
885067,,Spot,4,Image 1,1,53046,
31232,,Spot,4,Image 1,1,53048,
543793,,Spot,4,Image 1,1,53049,
506704,,Spot,4,Image 1,1,53050,
52311,,Spot,4,Image 1,1,53052,
263186,,Spot,4,Image 1,1,53053,
406567,,Spot,4,Image 1,1,53055,
150496,,Spot,4,Image 1,1,53056,
277079,,Spot,4,Image 1,1,53057,
1.18074e+06,,Spot,4,Image 1,1,53058,
418808,,Spot,4,Image 1,1,53059,
492135,,Spot,4,Image 1,1,53060,
693367,,Spot,4,Image 1,1,53061,
222201,,Spot,4,Image 1,1,53062,
46629,,Spot,4,Image 1,1,53063,
255189,,Spot,4,Image 1,1,53065,
431992,,Spot,4,Image 1,1,53066,
180061,,Spot,4,Image 1,1,53067,
794943,,Spot,4,Image 1,1,53068,
202331,,Spot,4,Image 1,1,53069,
1.14438e+06,,Spot,4,Image 1,1,53071,
91077,,Spot,4,Image 1,1,53072,
472279,,Spot,4,Image 1,1,53073,
281541,,Spot,4,Image 1,1,53075,
396387,,Spot,4,Image 1,1,53078,
367878,,Spot,4,Image 1,1,53079,
349338,,Spot,4,Image 1,1,53080,
1.00881e+06,,Spot,4,Image 1,1,53081,
100447,,Spot,4,Image 1,1,53082,
105897,,Spot,4,Image 1,1,53083,
506591,,Spot,4,Image 1,1,53084,
1.46082e+06,,Spot,4,Image 1,1,53085,
872311,,Spot,4,Image 1,1,53086,
284198,,Spot,4,Image 1,1,53087,
1.05809e+06,,Spot,4,Image 1,1,53088,
17822,,Spot,4,Image 1,1,53090,
792914,,Spot,4,Image 1,1,53091,
365202,,Spot,4,Image 1,1,53092,
33553,,Spot,4,Image 1,1,53094,
282104,,Spot,4,Image 1,1,53095,
68210,,Spot,4,Image 1,1,53096,
311595,,Spot,4,Image 1,1,53097,
409501,,Spot,4,Image 1,1,53098,
63330,,Spot,4,Image 1,1,53099,
96587,,Spot,4,Image 1,1,53100,
102329,,Spot,4,Image 1,1,53101,
708732,,Spot,4,Image 1,1,53102,
196924,,Spot,4,Image 1,1,53103,
22360,,Spot,4,Image 1,1,53104,
22915,,Spot,4,Image 1,1,53105,
690850,,Spot,4,Image 1,1,53106,
420385,,Spot,4,Image 1,1,53107,
221316,,Spot,4,Image 1,1,53108,
104325,,Spot,4,Image 1,1,53109,
762155,,Spot,4,Image 1,1,53110,
513471,,Spot,4,Image 1,1,53111,
263982,,Spot,4,Image 1,1,53112,
40602,,Spot,4,Image 1,1,53113,
732539,,Spot,4,Image 1,1,53115,
710118,,Spot,4,Image 1,1,53116,
512009,,Spot,4,Image 1,1,53118,
356138,,Spot,4,Image 1,1,53119,
506489,,Spot,4,Image 1,1,53120,
127702,,Spot,4,Image 1,1,53121,
1.37393e+06,,Spot,4,Image 1,1,53122,
585920,,Spot,4,Image 1,1,53123,
809980,,Spot,4,Image 1,1,53124,
219339,,Spot,4,Image 1,1,53125,
389727,,Spot,4,Image 1,1,53126,
292388,,Spot,4,Image 1,1,53127,
55608,,Spot,4,Image 1,1,53128,
869691,,Spot,4,Image 1,1,53129,
414764,,Spot,4,Image 1,1,53130,
97838,,Spot,4,Image 1,1,53131,
338860,,Spot,4,Image 1,1,53132,
459892,,Spot,4,Image 1,1,53133,
325860,,Spot,4,Image 1,1,53134,
568211,,Spot,4,Image 1,1,53135,
373515,,Spot,4,Image 1,1,53136,
91042,,Spot,4,Image 1,1,53137,
522822,,Spot,4,Image 1,1,53138,
95645,,Spot,4,Image 1,1,53140,
225316,,Spot,4,Image 1,1,53141,
269837,,Spot,4,Image 1,1,53142,
86769,,Spot,4,Image 1,1,53143,
1.1525e+06,,Spot,4,Image 1,1,53144,
101494,,Spot,4,Image 1,1,53145,
208906,,Spot,4,Image 1,1,53146,
311358,,Spot,4,Image 1,1,53147,
597809,,Spot,4,Image 1,1,53148,
204505,,Spot,4,Image 1,1,53149,
810761,,Spot,4,Image 1,1,53150,
427351,,Spot,4,Image 1,1,53152,
117797,,Spot,4,Image 1,1,53154,
292018,,Spot,4,Image 1,1,53155,
314517,,Spot,4,Image 1,1,53157,
150147,,Spot,4,Image 1,1,53159,
427386,,Spot,4,Image 1,1,53160,
2.4571e+06,,Spot,4,Image 1,1,53163,
3.47226e+06,,Spot,4,Image 1,1,53164,
454883,,Spot,4,Image 1,1,53165,
3.07765e+06,,Spot,4,Image 1,1,53166,
2.4107e+06,,Spot,4,Image 1,1,53167,
180730,,Spot,4,Image 1,1,53168,
614727,,Spot,4,Image 1,1,53169,
847563,,Spot,4,Image 1,1,53170,
887379,,Spot,4,Image 1,1,53171,
