
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.58407e+10,,Spot,6,Image 1,1,527,
9.7462e+09,,Spot,6,Image 1,1,528,
8.23698e+09,,Spot,6,Image 1,1,529,
4.91187e+10,,Spot,6,Image 1,1,530,
1.55074e+10,,Spot,6,Image 1,1,531,
2.54906e+10,,Spot,6,Image 1,1,547,
3.02602e+10,,Spot,6,Image 1,1,550,
3.1014e+10,,Spot,6,Image 1,1,551,
5.89389e+09,,Spot,6,Image 1,1,552,
9.58395e+09,,Spot,6,Image 1,1,554,
2.25189e+10,,Spot,6,Image 1,1,557,
9.34718e+09,,Spot,6,Image 1,1,558,
3.09252e+10,,Spot,6,Image 1,1,559,
2.21344e+10,,Spot,6,Image 1,1,560,
2.09541e+10,,Spot,6,Image 1,1,603,
2.21444e+10,,Spot,6,Image 1,1,53019,
2.21229e+10,,Spot,6,Image 1,1,53020,
1.71572e+10,,Spot,6,Image 1,1,53022,
1.35881e+10,,Spot,6,Image 1,1,53023,
1.17814e+10,,Spot,6,Image 1,1,53024,
1.14419e+10,,Spot,6,Image 1,1,53025,
1.59484e+10,,Spot,6,Image 1,1,53027,
1.9568e+10,,Spot,6,Image 1,1,53028,
2.02633e+10,,Spot,6,Image 1,1,53029,
1.60472e+10,,Spot,6,Image 1,1,53030,
2.06041e+10,,Spot,6,Image 1,1,53031,
1.81767e+10,,Spot,6,Image 1,1,53032,
1.46912e+10,,Spot,6,Image 1,1,53033,
6.81535e+09,,Spot,6,Image 1,1,53034,
8.58064e+09,,Spot,6,Image 1,1,53035,
3.05831e+10,,Spot,6,Image 1,1,53036,
2.63319e+10,,Spot,6,Image 1,1,53037,
2.10533e+10,,Spot,6,Image 1,1,53038,
2.20318e+10,,Spot,6,Image 1,1,53039,
2.62861e+10,,Spot,6,Image 1,1,53040,
1.65982e+10,,Spot,6,Image 1,1,53041,
2.10298e+10,,Spot,6,Image 1,1,53042,
2.21698e+10,,Spot,6,Image 1,1,53043,
1.74017e+10,,Spot,6,Image 1,1,53044,
1.76598e+10,,Spot,6,Image 1,1,53045,
1.47032e+10,,Spot,6,Image 1,1,53046,
1.9404e+10,,Spot,6,Image 1,1,53048,
1.56605e+10,,Spot,6,Image 1,1,53049,
6.16225e+09,,Spot,6,Image 1,1,53050,
1.52665e+10,,Spot,6,Image 1,1,53052,
6.86058e+09,,Spot,6,Image 1,1,53053,
7.21681e+09,,Spot,6,Image 1,1,53055,
2.02431e+10,,Spot,6,Image 1,1,53056,
1.9674e+10,,Spot,6,Image 1,1,53057,
6.67431e+09,,Spot,6,Image 1,1,53058,
9.75136e+09,,Spot,6,Image 1,1,53059,
5.46174e+09,,Spot,6,Image 1,1,53060,
1.15208e+10,,Spot,6,Image 1,1,53061,
8.22833e+09,,Spot,6,Image 1,1,53062,
1.95858e+10,,Spot,6,Image 1,1,53063,
1.60066e+10,,Spot,6,Image 1,1,53065,
9.97004e+09,,Spot,6,Image 1,1,53066,
1.12271e+10,,Spot,6,Image 1,1,53067,
5.82014e+09,,Spot,6,Image 1,1,53068,
6.29175e+09,,Spot,6,Image 1,1,53069,
