
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
110.75,um,Spot,Distance from Origin,1,522,
106.165,um,Spot,Distance from Origin,1,523,
109.701,um,Spot,Distance from Origin,1,524,
126.642,um,Spot,Distance from Origin,1,525,
135.674,um,Spot,Distance from Origin,1,526,
122.663,um,Spot,Distance from Origin,1,527,
114.153,um,Spot,Distance from Origin,1,528,
129.547,um,Spot,Distance from Origin,1,529,
120.503,um,Spot,Distance from Origin,1,530,
127.737,um,Spot,Distance from Origin,1,531,
96.8311,um,Spot,Distance from Origin,1,547,
111.074,um,Spot,Distance from Origin,1,550,
118.585,um,Spot,Distance from Origin,1,551,
131.849,um,Spot,Distance from Origin,1,552,
116.707,um,Spot,Distance from Origin,1,554,
127.054,um,Spot,Distance from Origin,1,557,
134.909,um,Spot,Distance from Origin,1,558,
149.124,um,Spot,Distance from Origin,1,559,
133.196,um,Spot,Distance from Origin,1,560,
99.7065,um,Spot,Distance from Origin,1,603,
72.9913,um,Spot,Distance from Origin,1,53019,
73.0032,um,Spot,Distance from Origin,1,53020,
71.5816,um,Spot,Distance from Origin,1,53022,
141.38,um,Spot,Distance from Origin,1,53023,
135.097,um,Spot,Distance from Origin,1,53024,
129.131,um,Spot,Distance from Origin,1,53025,
124.099,um,Spot,Distance from Origin,1,53027,
133.576,um,Spot,Distance from Origin,1,53028,
161.788,um,Spot,Distance from Origin,1,53029,
161.736,um,Spot,Distance from Origin,1,53030,
151.96,um,Spot,Distance from Origin,1,53031,
155.238,um,Spot,Distance from Origin,1,53032,
157.472,um,Spot,Distance from Origin,1,53033,
156.848,um,Spot,Distance from Origin,1,53034,
162.993,um,Spot,Distance from Origin,1,53035,
149.477,um,Spot,Distance from Origin,1,53036,
157.528,um,Spot,Distance from Origin,1,53037,
151.615,um,Spot,Distance from Origin,1,53038,
155.588,um,Spot,Distance from Origin,1,53039,
155.409,um,Spot,Distance from Origin,1,53040,
159.408,um,Spot,Distance from Origin,1,53041,
152.388,um,Spot,Distance from Origin,1,53042,
147.721,um,Spot,Distance from Origin,1,53043,
144.048,um,Spot,Distance from Origin,1,53044,
139.02,um,Spot,Distance from Origin,1,53045,
142.178,um,Spot,Distance from Origin,1,53046,
143.374,um,Spot,Distance from Origin,1,53048,
138.561,um,Spot,Distance from Origin,1,53049,
139.961,um,Spot,Distance from Origin,1,53050,
140.981,um,Spot,Distance from Origin,1,53052,
142.917,um,Spot,Distance from Origin,1,53053,
121.492,um,Spot,Distance from Origin,1,53055,
