
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,436,
5,5,5,um,Spot,Diameter,1,437,
5,5,5,um,Spot,Diameter,1,438,
5,5,5,um,Spot,Diameter,1,439,
5,5,5,um,Spot,Diameter,1,440,
5,5,5,um,Spot,Diameter,1,441,
5,5,5,um,Spot,Diameter,1,442,
5,5,5,um,Spot,Diameter,1,443,
5,5,5,um,Spot,Diameter,1,444,
5,5,5,um,Spot,Diameter,1,445,
5,5,5,um,Spot,Diameter,1,446,
5,5,5,um,Spot,Diameter,1,512,
5,5,5,um,Spot,Diameter,1,514,
5,5,5,um,Spot,Diameter,1,517,
5,5,5,um,Spot,Diameter,1,518,
5,5,5,um,Spot,Diameter,1,519,
5,5,5,um,Spot,Diameter,1,520,
5,5,5,um,Spot,Diameter,1,521,
5,5,5,um,Spot,Diameter,1,522,
5,5,5,um,Spot,Diameter,1,523,
5,5,5,um,Spot,Diameter,1,524,
5,5,5,um,Spot,Diameter,1,525,
5,5,5,um,Spot,Diameter,1,526,
5,5,5,um,Spot,Diameter,1,527,
5,5,5,um,Spot,Diameter,1,528,
5,5,5,um,Spot,Diameter,1,529,
5,5,5,um,Spot,Diameter,1,530,
5,5,5,um,Spot,Diameter,1,531,
5,5,5,um,Spot,Diameter,1,547,
5,5,5,um,Spot,Diameter,1,550,
5,5,5,um,Spot,Diameter,1,551,
5,5,5,um,Spot,Diameter,1,552,
5,5,5,um,Spot,Diameter,1,554,
5,5,5,um,Spot,Diameter,1,557,
5,5,5,um,Spot,Diameter,1,558,
5,5,5,um,Spot,Diameter,1,559,
5,5,5,um,Spot,Diameter,1,560,
5,5,5,um,Spot,Diameter,1,603,
5,5,5,um,Spot,Diameter,1,53019,
5,5,5,um,Spot,Diameter,1,53020,
5,5,5,um,Spot,Diameter,1,53022,
5,5,5,um,Spot,Diameter,1,53023,
5,5,5,um,Spot,Diameter,1,53024,
5,5,5,um,Spot,Diameter,1,53025,
5,5,5,um,Spot,Diameter,1,53027,
5,5,5,um,Spot,Diameter,1,53028,
5,5,5,um,Spot,Diameter,1,53029,
5,5,5,um,Spot,Diameter,1,53030,
5,5,5,um,Spot,Diameter,1,53031,
5,5,5,um,Spot,Diameter,1,53032,
5,5,5,um,Spot,Diameter,1,53033,
5,5,5,um,Spot,Diameter,1,53034,
5,5,5,um,Spot,Diameter,1,53035,
5,5,5,um,Spot,Diameter,1,53036,
5,5,5,um,Spot,Diameter,1,53037,
5,5,5,um,Spot,Diameter,1,53038,
5,5,5,um,Spot,Diameter,1,53039,
5,5,5,um,Spot,Diameter,1,53040,
5,5,5,um,Spot,Diameter,1,53041,
5,5,5,um,Spot,Diameter,1,53042,
5,5,5,um,Spot,Diameter,1,53043,
5,5,5,um,Spot,Diameter,1,53044,
5,5,5,um,Spot,Diameter,1,53045,
5,5,5,um,Spot,Diameter,1,53046,
5,5,5,um,Spot,Diameter,1,53048,
5,5,5,um,Spot,Diameter,1,53049,
5,5,5,um,Spot,Diameter,1,53050,
5,5,5,um,Spot,Diameter,1,53052,
5,5,5,um,Spot,Diameter,1,53053,
5,5,5,um,Spot,Diameter,1,53055,
5,5,5,um,Spot,Diameter,1,53056,
5,5,5,um,Spot,Diameter,1,53057,
5,5,5,um,Spot,Diameter,1,53058,
5,5,5,um,Spot,Diameter,1,53059,
5,5,5,um,Spot,Diameter,1,53060,
5,5,5,um,Spot,Diameter,1,53061,
5,5,5,um,Spot,Diameter,1,53062,
5,5,5,um,Spot,Diameter,1,53063,
5,5,5,um,Spot,Diameter,1,53065,
5,5,5,um,Spot,Diameter,1,53066,
5,5,5,um,Spot,Diameter,1,53067,
5,5,5,um,Spot,Diameter,1,53068,
5,5,5,um,Spot,Diameter,1,53069,
5,5,5,um,Spot,Diameter,1,53071,
5,5,5,um,Spot,Diameter,1,53072,
5,5,5,um,Spot,Diameter,1,53073,
5,5,5,um,Spot,Diameter,1,53075,
5,5,5,um,Spot,Diameter,1,53078,
5,5,5,um,Spot,Diameter,1,53079,
